"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17","s8q17ab","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","s8q100coth","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d","s8q100doth"
"00e23121bad94719bff27f93646437b3",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP AND LIVESTOCK FARMER",6,63,633,6330,1,"SUBSISTENCE CROP AND LIVESTOCK FARMING",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,1,4,4,1,1,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",2,1,,2,1,2,2,1,1,,,,,,"SELLER MUKENE (SILVER FISH)",5,52,524,5249,1,"RETAIL TRADE SELLER",71111,47,479,4799,1,3,,,,,,,,,,,2,2,1,2,5,1,1,"SUBSISTENCE CROP FARMER",6,63,631,6310,"SUBSISTENCE CROP FARMING",11111,1,11222,111,6,5,5,2,2,0,5,2,2,5,0,4,4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",6,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP AND LIVESTOCK FARMER",6,63,633,6330,1,"SUBSISTENCE CROP AND LIVESTOCK FARMING",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,3,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",1,1,,1,2,2,2,2,1,,,,,,"Broker for land",5,51,516,5169,,"Sale of land",121111,68,682,6820,,1,,2,2,2,2,2,1,,12,4,,,,,5,8,2,,,,,,,,,,,,,,10,10,10,10,10,10,10,,,,,,,,4,3,,,500000,1,,,,,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",2,1,,1,2,2,2,2,1,,,,,,"Hairdressing",5,51,514,5141,,"Salon",191111,96,960,9602,,1,,2,2,2,2,2,1,,12,4,,,,,5,4,2,,,,,,,,,,,,,,0,9,9,9,9,9,9,,,,,,,,4,3,,,15000,2,,,,,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",1,2,2,2,2,2,2,1,1,,,,,,"CROP FARMING",6,63,633,6330,1,"HOUSE HOLD FARM",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,5,5,0,5,5,0,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",2,1,,2,2,2,2,1,1,,,,,,"CROP FARMING",6,63,633,6330,1,"AGRICULTURAL FARM",11111,1,12222,129,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,3,3,0,3,3,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, MAIZE, SWEET POTATOES GROWER",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",4,2,1,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"0101511a1da74f35b4fb8fd0c2cf8e69",6,2,1,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"0101511a1da74f35b4fb8fd0c2cf8e69",7,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS,MAIZE, SWEET POTATOES GROWER",11111,1,11222,119,1,6,4,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",15,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, MAIZE, SWEET POTATOES GROWER",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",18,1,,2,2,2,2,2,0,2,2,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,96,"Too old"
"0101511a1da74f35b4fb8fd0c2cf8e69",19,1,,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"0103050b934841289df128242538e3ea",1,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"0103050b934841289df128242538e3ea",2,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE FARMER",6,63,631,6310,1,"GROWING MAIZE",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,4,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE COMMERCIAL FARMER",6,61,612,6129,1,"PIG REARING",11111,1,14222,145,1,6,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,5,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",2,1,,2,1,2,2,2,1,,,,,,"BUYING AND SELLING MEAT",9,95,952,9520,1,"MEAT VENDORS",71111,47,478,4781,1,3,,,,,,,,,,,2,2,1,1,5,7,2,,,,,,,,,,,,,,4,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0125c97b154d4f249c07f630cd52a102",1,1,,2,2,2,2,1,1,,,,,,"farming",6,63,633,6330,1,"growing foodcrops for home consumption and rearing cattle",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,0,3,0,4,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
