"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H1641001","9",1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,"9467dbc180ae48b7a9a634766d5f6a06"
"H1261101","9",1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,"958a368fa116418996e7711693042b45"
"H2650901","18",1,,,,,,,,,,1,,,,1,,,,,,,3,"9667f85b9b2c47129792d5848c182b3b"
"H3520802","4",1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"9afc9d8cadc54af0b4da94f33ec8ec62"
"H1300603","7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"9b81afb9f2314aceaf0a79c60a3452ac"
"H2790601","9",1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,"a6a6c3481bf147a68a6d3d94d0290454"
"H2780303","4",1,2,2,1,2,2,,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,"a948a4d1448c4098b63de1257045e1ac"
"H2790103","5",1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,"ac35e45bc78147dbb4334fe3d5cf8359"
"H0720301","10",1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,3,"acea3bfd05804e8c9aab357dfacfd8af"
"H1400201","8",1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,"ad8353f3f7214ab6acc2ea37123f8fd3"
"H1430906","9",1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,"b188a094783c440eaa1b5f9a7d5a2043"
"H0750401","7",1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,3,"b79f1b48f93a4656b7de26b5756470c2"
"H3490701","5",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"b87e14ec8f404b27966089b999352c38"
"H1650505","4",1,2,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,3,"bb30edee6d804a02bfeefc96d7026fca"
"H4100401","8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"bf6e0413e40d4b7f87df28fd4a7eeaa7"
"H1960302","4",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,5,"c05e8641340545b3b67a3d2cde754d74"
"H3090301","10",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"c9ff94a24e1b400ebf7bce938cd398a2"
"H2790201","9",1,2,1,1,2,2,,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"cc33028dfe7d487288ff2e56ca10103b"
"H1751102","5",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,"cbd2d0ab9b564af39cedaff8c11c2c2e"
"H3050301","11",1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,"cc4ab6f565e44dafa8cac269cc03e0bf"
"H1890902","4",2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,3,"d09403c9ce1441fd9fc60866eb5f9c0a"
"H3700101","6",2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,4,"d0a34521da7b43bc993fa0a62381e741"
"H1260602","6",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"d6dde5c854894fe0bb9e364dc83b4d93"
"H3510401","12",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,"d757910c0fa54b81b0713ac9ab54d567"
"H3061001","10",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"d92b2438e55d4bbeaaa988f6483ae0ff"
"H4040401","11",2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,"daa5345f86fa4e7a8f37735ba880fd01"
"H1650601","11",1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,"dc03196f9a3340c1bfa967d66381725b"
"H3740401","12",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,"dd65af1287564544b42d67dee7c420d2"
"H3470401","9",2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,3,"dfa5849c88624b4b93d75344729fcd60"
"H3620901","14",2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,3,"e2566b933e73447baa3dc30ee28ed2bd"
"H0750208","5",1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,"e3ac4aba59bf4669a6c43e9620ed61a0"
"H4140201","5",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"e48081c01f2043bbaf15c313d52109b2"
"H3730601","7",1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,"e55295cf328140cc919dee3f90fd2c26"
"H2651102","4",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,"ea7e503b29d047e4a8c1bbeaacd0bf76"
"H3700301","9",1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,"ea6d249015ea43fdbb8512fffdcf48a2"
"H1880604","4",2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"eadb80f8aeba45d0866a12472624e2e0"
"H1740401","8",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"eb25796e1ad649679055593724664f79"
"H0490802","7",1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,5,"eb00a49a396a4c12bdeb731b50e87576"
"H3500401","12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"eaffe221f7af498484ca1e7d39141c7e"
"H3430101","5",1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,3,"f039e6ecc301466ba007e6b22477de34"
"H3701001","6",1,,,1,,,,,,,,,1,,,,,,1,,,1,"f1ca5df50c404322be72366e98f58e57"
"H2660301","4",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,3,"f1bc09d2cd8248a4b51acf32675c8fd8"
"H1880605","4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"f30df406f2024ad3ae5bda4c9421abf3"
"H0300501","8",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,"f58f65df73064742a85798aab0193743"
"H0450804","4",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"f739e1e5139c4dfb9ffcc712989a5d76"
"H3720301","9",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,"f8d0cdee6f1b46428fa3f2aaca343443"
"H2781001","8",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"fc61f28ff75e41a28e4202e2a6fa55c2"
"H2351002","7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"fe04433085b94262abf29feae7ec2cae"
"H1891001","10",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"ff75528be9d54f6d810710b90fa41ea7"
"H1400702","4",1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,"008071c371724fe49a5bb047472df87f"
"H0120905","4",1,2,2,1,2,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,"01152e19bbdd4744a712260121f34bf7"
"H3470701","29",1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,"01474a4d9efd4b8190c37f5fba89a005"
"H1640904","6",1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"040ecbcfb343431bb6645772dd87c2bb"
"H1480702","4",1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,"0fcb437569834d1c9c2606f6766add88"
"H1810901","9",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"1743a758fcdf491da96b27fd16b6021d"
"H3720601","11",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,"1825c65f6b9f4adf9694914c8b688f31"
"H2700602","9",1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,"1d9e7c2ca373492bbd6da273b791c7be"
"H4101002","3",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,2,"1e796e9fa1c64e16943f69008601d15b"
"H1640502","5",1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,"25c1e14ebc92478c9687b83c28f200c7"
"H3560101","14",1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,"26df7db98a224f2d8cc3df26834c8cb3"
"H0511001","2",1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"2b7afe6f631548f48a9cfcb272c63cad"
"H3790301","5",2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,3,"2c6a0b01f8df427f944dc88e15550d44"
"H3970501","5",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"36badb2c6dc844c8a2cb27a16ed7b9cc"
"H1480701","9",1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,4,"37ced188b419478281bc403e3be1e44e"
"H3610601","18",1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,"468e3f6ef60a49e1b311c81dabce6226"
"H1650102","8",1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"4d0cc584b9b945f8bc1674879d356ed0"
"H1480201","13",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,"4e79b8455c794fe28a3ee745cd1fa4c5"
"H0380901","12",1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,"54d01494a9d946cb8a27022831e34162"
"H0400302","8",1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,"5607c038dc64441e8c59d1e05d4951da"
"H1400602","6",1,,,1,,,,,,,,,,,,,,,,,,2,"56a0fed34740470987aa0b6052b6909a"
"H1740101","14",1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,"5b40bcbd3b7e4c51aca08b7c7e27922d"
"H3431001","7",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"6f830ce7d01c422cb12c8b5c8b9c96ee"
"H0630601","9",1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,3,"6fdb9e65588f4e288c279e8301d04706"
"H1431001","7",1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"7661a92f928a4dc9a3ca5cb239c2943a"
