"hhid","FF02","FF01","FF_21a","FF_21b"
"0b922762b1a14c53a9f6bbd6ef3ff337",150,"Salt",1,"US-2465"
"0b922762b1a14c53a9f6bbd6ef3ff337",991,"Cooking fat",2,
"0be0f54fc2f44d4d8328e2b8878a06d0",150,"Salt",1,"US-5908"
"0c3e9a0e660a4ec8a84320ec2aee7f95",127,"Cooking oil",2,
"0c3e9a0e660a4ec8a84320ec2aee7f95",150,"Salt",2,
"0c3e9a0e660a4ec8a84320ec2aee7f95",991,"Cooking fat",2,
"0c62b06017184c17bad1db399f2a4e56",150,"Salt",2,
"0c6c4a83fca94c7db3e8a92b921ca4b0",127,"Cooking oil",1,"UO-1274"
"0c6c4a83fca94c7db3e8a92b921ca4b0",150,"Salt",2,
"0c6c4a83fca94c7db3e8a92b921ca4b0",991,"Cooking fat",2,
"0c7ed7713a3b4c80ab675ecc093d0a2a",127,"Cooking oil",1,"UO-2269"
"0c7ed7713a3b4c80ab675ecc093d0a2a",150,"Salt",1,"US-2269"
"0c7ed7713a3b4c80ab675ecc093d0a2a",991,"Cooking fat",2,
"0cac20f5e69f4d00ac5d1bfc15689dba",127,"Cooking oil",1,"UO-1797"
"0cac20f5e69f4d00ac5d1bfc15689dba",150,"Salt",2,
"0cac20f5e69f4d00ac5d1bfc15689dba",991,"Cooking fat",2,
"0ccd9462978a4880b1f650cecd2d26dd",150,"Salt",2,
"0cf284629d3f460eb8d1ac4e90b0639b",127,"Cooking oil",2,
"0cf284629d3f460eb8d1ac4e90b0639b",150,"Salt",2,
"0cf284629d3f460eb8d1ac4e90b0639b",991,"Cooking fat",2,
"0d05119207a2485cbe3a503f04c33f1d",127,"Cooking oil",2,
"0d05119207a2485cbe3a503f04c33f1d",150,"Salt",2,
"0d05119207a2485cbe3a503f04c33f1d",991,"Cooking fat",2,
"0d1503da1c134a0e912f2b7115137d57",127,"Cooking oil",2,
"0d1503da1c134a0e912f2b7115137d57",150,"Salt",2,
"0d1503da1c134a0e912f2b7115137d57",991,"Cooking fat",2,
"0d15c30cd22c44ca829cb62b6e630c26",127,"Cooking oil",2,
"0d15c30cd22c44ca829cb62b6e630c26",150,"Salt",2,
"0d15c30cd22c44ca829cb62b6e630c26",991,"Cooking fat",2,
"0d3fe7c0dc864f1eb4c9c7559a351a39",127,"Cooking oil",1,"UO-1040"
