"t0_hhid","interview__key","hhid","t0_bizroster__id","s12q03a","entID_unps","t0_entDesc","t0_entLoc","t0_entStartMon","t0_entStartYear","t0_operateEnt","t0_whyNotOperate","h12q01","h12q01_1","h12q02_oneDigit","h12q02_twoDigit","h12q02_threeDigit","h12q02_fourDigit","h12q02_superConfirm","h12q03","h12q04","h12q15","h12q16","h12q16b","h12q05","h12q05b","h12q06_1","h12q07_1","h12q07_1other","h12q08a","h12q08b","h12q08c","h12q08d","h12q08e","h12q19a","h12q19b","h12q09","h12q20","h12q10","h12q11A","h12q11B","h12q12","h12q13","h12q14","h12q17","h12q18A","h12q18B","h12q18C","h12q18D","h12q18E","h12q18F","h12q18G","h12q18H","h12q18I","h12q18J","h12q18K","h12q18L","h12q18M","h12q18N","h12q18O","h12q18P","h12q18X","h12q18Q","h12q18_other","h12q21","h12q22"
"H1510501","41-76-71-35","0e25633f83884662b852b82b7c7724cd",1,"RUNS A SMALL DRUG SHOP","1","RUNS A SMALL DRUG SHOP",7,1,1998,1,,"OWNS A SMALL DRUG SHOP",2,71111,47,477,4772,1,1,2009,7,1,,2,,2,,,1,,,,,1,,12,,720000,0,0,,420000,0,3,,,1,,1,,,,,,,,,,,,,,,2,2
"H1000702","81-26-26-31","0e4cdfeceae74763b9dca833f7997b04",1,"RETAIL SALE OF OLD CLOTHES(NEW)","1","RETAIL SALE OF USED CLOTHES",7,98,2008,1,,"Retail sale of New clothes",2,71111,46,464,4641,1,2,2004,7,1,,2,,1,1,,2,,,,,2,,12,,24000000,0,0,,18000000,140000,2,1,,1,,,,,,,,,,,,,,,,,1,2
"H4050901","16-09-41-44","0e587b69c8364b7ea11ac6ad8155d944",1,"TOILERING","1","TOILERING",2,8,2013,1,,,,,,,,,3,2016,2,1,,2,,2,,,3,,,,,3,,4,1,30000,0,0,,10000,0,2,,,,,,,,,,,,,,,1,,,,,2,2
"H0540702","78-76-19-75","0f1fae5e3c164a0689a528daa0977068",1,"RETAIL SALE OF GENERAL HOUSEHOLD MERCHANDISE","1","RETAIL SALE OF GENERAL HOUSEHOLD MERCHANDISE",7,98,2004,1,,"RETAIL SALE OF GENERAL MERCHANDISE",2,71111,47,471,4711,,1,2016,1,1,,2,,2,,,1,3,4,,,1,3,12,,1500000,0,2,0,0,20000,1,,,,,,,,,,,,,,,,,,,,2,2
"H0691101","72-80-97-95","0fc2473477df48789bebde3b8239f2c4",1,"STONE QUARRYING","1","STONE QUARRYING",7,98,2006,1,,"stone quarrying",1,21111,8,81222,810,,1,2011,7,1,,2,,2,,,1,,,,,1,,12,,200000,1,0,40000,40000,0,3,1,,,,,,,,1,,,,,,,,,,,2,2
"H3960901","57-19-87-64","110f81c0d9254505838dcaf2497d130a",1,"BUNING CHOROAL","1","BUNING CHOROAL",4,12,2009,1,,"BURNING OWN CHARCOAL AND SELLING IT",2,71111,47,479,4799,1,2,2011,8,1,,1,,2,,,1,,,,,1,,12,,150000,0,3,0,0,7000,3,,,,,,,,,,,,,,,,1,,,,2,2
"H4240801","54-97-89-51","11677af1b0144119a6f225a20b75675a",1,"BODA BODA RIDER","1","BODA BODA",7,7,2014,1,,"Bodaboda Rider",2,81111,49,492,4921,1,1,2005,8,2,,2,,1,1,,1,,,,,1,,12,,800000,0,1,50000,100000,200000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2850505","54-20-52-14","117be70b702543a2a9b2c6ed42bde0d8",2,"BODABODA RIDER","2","BODABODA RIDER",6,1,2016,1,,"BODA BODA RIDER",2,81111,49,492,4922,,2,2017,8,1,,2,,2,,,2,,,,,1,2,12,,120000,0,0,,20000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H2850505","54-20-52-14","117be70b702543a2a9b2c6ed42bde0d8",1,"CARPENTRY","1","CARPENTRY",7,1,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1640703","59-05-44-20","11cce051e10f463e9d807eac544f8298",1,"REPAIRING TORCHES, RADIOS AND PHONES","2","REPAIRING TORCHES, RADIOS AND PHONES",1,98,1990,1,,"REPAIRING TORCHES, RADIOS AND PHONES",2,71111,47,479,4799,1,1,2001,1,1,,2,,2,,,1,,,,,1,,12,,20000,0,1,0,0,0,3,1,,,,,,,,,,,,,,1,,,,,2,2
"H1640703","59-05-44-20","11cce051e10f463e9d807eac544f8298",2,"SEWING SHOES","3","SOWING SHOES",1,98,2003,1,,"SEWING TORN SHOES FOR PAY",2,71111,47,479,4799,1,2,2001,1,2,,2,,2,,,2,,,,,1,,12,,50000,0,1,0,15000,0,3,1,,1,,,,,,,,,,,,,,,,,2,2
"H3410901","56-10-45-98","11fa0219f3c04dc69816ce8f2784a912",1,"MAKING OF MATS FOR SALE","1","MAKING OF MATS FOR SALE",1,98,2005,1,,"WEAVING MATS",1,31111,13,139,1394,1,1,2006,1,1,,2,,2,,,1,,,,,1,,3,1,60000,0,0,,15000,0,3,1,,,,,,,,,,,,,,,,,,,2,2
"H3940501","86-20-36-96","11fe2002e4b64d6a9f6f9dc246c6b5cb",1,"RETAIL SALE OF GROCERIES...","1","RETAIL SALE OF GROCERIES...",4,9,2013,1,,"SELLING FOOD STUFFS",2,71111,47,471,4711,1,1,2015,4,1,,2,,2,,,1,,,,,1,,12,,900000,0,0,,600000,15000,3,,1,,,,,,,,,,,1,,,,,,,2,2
"H1150602","61-07-13-17","12e688f31e39475e9ae5aa19685c7e37",1,"RENTING OUT CHAIRS","1","RENTING OUT CHAIRS",1,12,2012,1,,"RENTING OUT OF CHAIRS",2,141111,77,773,7730,1,2,2012,1,1,,2,,2,,,2,,,,,1,2,12,,220000,2,0,40000,20000,0,3,1,,,,,,,,,,,,,1,,,,,,8,2
"H1150602","61-07-13-17","12e688f31e39475e9ae5aa19685c7e37",2,"HAIR DRESSING IN A SALOON","2","HAIR DRESSING IN A SALOON",2,3,2011,1,,"HAIRDRESSING IN A SALON",2,191111,96,960,9602,1,2,2011,2,1,,2,,2,,,2,,,,,2,,6,2,560000,1,0,100000,100000,50000,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H2080601","38-23-59-07","12ea98f53d374c2ab9476c087af2913e",1,"OPERATES BODA BODA","1","OPERATES BODA BODA",8,1,2015,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2140902","91-37-78-25","13e1b70c74264df2b3ce9571a64d04b7",1,"SELING FIREWOO","1","SELING FIREWOO",4,10,2013,1,,"Selling Firewood",4,11111,2,23222,230,1,1,2013,8,1,,1,,2,,,1,,,,,1,,6,1,16000,0,0,,0,0,3,,,,,,,,,,,,,,,,,1,,"Distance from the collection point",2,2
"H1140501","61-07-90-14","142452c4f1204a22b394324cb0f4bab9",2,"RETAIL SALE OF FOOD STUFFS","2","RETAIL SALE OF FOOD STUFFS",7,4,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1140501","61-07-90-14","142452c4f1204a22b394324cb0f4bab9",1,"RETAIL SALE OF GENERAL MERCHANDISE","1","RETAIL SALE OF GENERAL MERCHANDISE",7,5,2006,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1300801","69-25-12-92","15112bb7ee2c432d83517c273c01cf0b",1,"SELLS LOCAL BREW","1","SELLS LOCAL BREW",8,98,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3960101","78-12-44-70","15765778f2514e5db3c9fa6bb742cd00",1,"CHARCOAL BURNING AND SALES","1","CHARCOAL BURNING AND SALES",4,98,2012,1,,"BURNING AND SELLING CHARCOAL",1,31111,16,162222,1629,1,2,1995,8,1,,1,,2,,,2,,,,,2,,8,1,80000,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H4230601","39-46-27-24","1588fa8bc10343c6a213180e185b4c77",1,"OPERATING AGRINDING MACHINE","1","OPERATING AGRINDING MACHINE",2,4,2012,1,,"GRADING MACHINE",1,31111,32,329,3290,1,1,2012,2,1,,2,,2,,,1,,,,,1,,12,,120000,1,0,40000,0,60000,2,1,,,,,,,,,,,,,,,,,,,2,2
"H4230601","39-46-27-24","1588fa8bc10343c6a213180e185b4c77",2,"TAILORING MACHINE","2","TAILORING MACHINE",1,4,2011,1,,"TAILORING OF CLOTHES",1,31111,13,131,1312,1,2,2011,1,1,,2,,2,,,2,,,,,1,2,12,,40000,0,0,,2500,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3800501","85-98-35-27","16282cde170b4278acdeccb779ce6b33",1,"BARBER IN A SALON","1","BARBER IN A SALON",4,2,2014,1,,"Barber",2,191111,96,960,9602,1,1,2015,4,1,,2,,2,,,1,,,,,1,,12,,210000,0,0,,20000,0,3,1,,,,,,,,,,,,,,,,,,,8,1
"H2370201","55-54-62-81","16b2d34dfa854a44b17e4a2a1fe1dcbb",1,"WEAVING BASKETS","1","WEAVING BASKETS",2,98,1976,1,,"WEAVING BASKETS",1,31111,16,162222,1629,1,1,2002,2,1,,2,,2,,,1,,,,,1,,12,,25000,0,1,0,0,0,2,1,,,,,,,,,,,,,,,,,,,2,2
"H2611103","86-56-48-25","17751f7703ab476bba3ef1ec613b0bec",1,"BODA BODA TRANSPORT","1","BODA BODA TRANSPORT",8,1,2013,1,,"BODABODA",2,81111,49,492,4922,1,2,2015,8,1,,2,,2,,,2,,,,,1,2,12,,537000,0,1,0,0,196000,3,1,,,,,,,,,,,,,,,,,,,2,2
