"hhid","s16qa01","s16q02a","s16q02y","s16q02b","s10q03a","s16q03b","s16q03c","s16q03d","s16q04a","s16q04b","s16q04c","s16q01"
"0ac58cb4e81e452daa6d87169534e762",115,3,2018,2,2,1,2,2,3,8,,1
"0b195170755f4768ac89c0dc1d08645a",1012,12,2017,2,1,2,1,1,3,1,,1
"0b922762b1a14c53a9f6bbd6ef3ff337",111,12,2017,1,1,2,2,1,8,,,1
"0c7ed7713a3b4c80ab675ecc093d0a2a",107,11,2017,4,1,2,2,2,3,1,,1
"0c7ed7713a3b4c80ab675ecc093d0a2a",110,7,2017,5,1,1,1,1,1,3,,1
"0cf284629d3f460eb8d1ac4e90b0639b",107,7,2017,4,1,2,2,2,8,5,,1
"0d1503da1c134a0e912f2b7115137d57",1011,8,2018,3,1,2,1,1,8,3,1,1
"0dc5a325d5dd4987b0255e6dc261c7c9",110,12,2018,1,1,2,1,2,1,8,,1
"0e22abe9b0524c3f81a1babba4b3a651",118,8,2017,3,1,2,1,1,8,,,1
"0e587b69c8364b7ea11ac6ad8155d944",1011,5,2018,3,1,2,1,1,5,,,1
"0e6bbfd7a7ff407ba8c19c68b4614a43",106,2,2018,1,1,1,1,1,40,,,1
"0e6bbfd7a7ff407ba8c19c68b4614a43",107,6,2018,1,1,1,1,1,40,,,1
"0e6bbfd7a7ff407ba8c19c68b4614a43",1032,3,2018,1,1,1,1,1,40,,,1
"0eb527381cfb4f258ee6a1ad0862d96b",1011,3,2017,3,1,2,1,2,6,8,9,1
"0f0210463290453bb298ac2094d5322e",115,10,2017,1,1,2,1,2,40,,,1
"0f896c130fda4f5788f29621fde557f3",118,6,2018,2,1,1,1,1,1,7,8,1
"0f89c593c872418cbe8ce314e2d06348",114,9,2018,1,2,2,2,2,40,,,1
"0f9890d1fd734a5cace8f29bedc49979",113,4,2018,0,2,2,2,2,1,8,,1
"0fd53ca28fec43eea667c453445091b8",110,5,2017,2,1,2,2,1,5,40,,1
"0fd53ca28fec43eea667c453445091b8",111,9,2017,3,1,2,2,1,1,2,14,1
"104c763be4a348c7858dd66cc2fbc597",1011,7,2017,2,1,2,1,2,3,,,1
"104c763be4a348c7858dd66cc2fbc597",1032,11,2017,2,1,2,1,2,3,,,1
"10651f09e6a44d788c5947935927ecd0",104,3,2017,2,1,2,1,1,5,6,,1
"10651f09e6a44d788c5947935927ecd0",1011,10,2017,4,1,2,1,1,5,6,,1
"10651f09e6a44d788c5947935927ecd0",1012,10,2017,4,1,2,1,1,6,5,,1
"108581c17994453a902a47aaec861b78",104,8,2017,4,1,2,1,1,3,,,1
"108581c17994453a902a47aaec861b78",1011,9,2017,3,1,2,1,1,3,5,,1
"108ebe553d994ae8bee890ebd2447fbf",113,8,2017,0,1,2,1,2,1,,,1
