"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"88a888e1eea94eab989ac1b0f7a0609a",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,14,14,12,1,20,10,28,4,1,1,"8000",13,".",".",".",5,100,2,4,23,1,3,1,"1",
"88c462fd6f074e23a79eabc018993315",10,10,4,10000,2,1987,1,3,,,".",".",".",2,,,,2,2,,1,,1000000,4,10,12,10,14,6,30,10,0.5,10,1,2,"5000",10,"2","10",,1,120,2,4,23,2,,1,"1",
"88f986f6edb64cb583939d1732e2c621",10,10,3,0.12,2,2012,3,3,,,".",".",".",2,,,,2,2,,1,,10000000,2,10,12,14,15,,15,5,0.5,3,2,,,10,"2",,,1,40,2,4,23,1,3,1,"2",
"89031bc5406a4cc7a66a827f60487cbd",16,10,4,10000,3,2009,2,3,,,".",".",".",2,,,,6,2,,1,,3000000,2,15,16,14,14,6,15,15,0.3,6,2,,,10,"2","4","5",2,120,1,4,23,2,,1,"2",
"89145e187f3b49d7b2182ddf0de09a06",10,10,4,6000,1,1990,1,3,,,".",".",".",2,,,,2,2,,1,,2000000,6,15,16,14,14,6,5,2,0.25,20,1,2,"1000",10,"8","15","22",1,400,1,4,23,2,,1,"1",
"8929bb483a9947ea9873e3500cb32674",16,10,4,60,2,2012,1,3,,,".",".",".",2,,,,5,2,,1,,500000,1,15,16,14,14,6,40,5,2,10,2,,,10,"1","2","3",1,80,1,4,95,,,,"1",
"892be5988df04d41bcccaf8fb74c8cb1",10,10,4,1800,2,1959,2,3,,,".",".",".",1,96,,,5,2,,1,,1000000,1,10,16,14,14,6,2,2,0.02,1.5,2,,,14,".",".",".",1,10,1,4,22,1,2,1,"1",
"892e584c6cfe45de95576b3083f58a5f",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8936d6c854b147eaba6a4d8d92af2a3e",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,16,14,14,1,5,2,0.1,5,2,,,10,"1","2",,1,60,2,2,23,2,,1,"2",
"893875030df44f56843645c439b7e448",10,10,1,320,2,1980,1,3,,,".",".",".",2,,,,2,2,,1,,2000000,2,15,14,14,15,,25,10,0.5,5,2,,,10,"3","4","5",1,80,1,4,23,2,,1,"1",
"8939b54be5c84966932985b5f49a8a66",16,10,3,0.3,2,1989,1,3,,,".",".",".",2,,,,2,2,,1,,15000000,5,15,14,14,16,2,5,1,0.1,20,2,,,10,"7","8",,1,120,2,4,95,,,,"1",
