"s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h","hhid"
"1",2,2,2,1,2,2,2,2,"242f1a71e8a849a19b74d971b9696d78"
"1",2,2,2,2,2,2,2,2,"24e7263069f047278cece7ede45d45e6"
"1",2,2,2,2,2,2,2,2,"24fa880a1a404aa5a78a631de175cfc2"
"1",2,2,2,2,2,2,2,2,"2560e1f4097c422e87be78db2325d8c3"
"1",2,2,2,2,2,2,2,2,"2570caa433474d98928ccd781062d647"
"1",2,2,2,2,2,2,2,2,"25a7e21d7611402293c81b697f449178"
"1",2,2,2,2,2,2,2,2,"25c1e14ebc92478c9687b83c28f200c7"
"1",2,2,2,2,2,2,2,2,"25da72740d9c431ea4c8b8fe867f3a07"
"1",2,2,2,2,2,2,2,2,"25dc375c204c42e39c18b99f42fc1778"
"1",2,2,2,2,2,2,2,1,"26044ee7130241baba4bdc7a96acea48"
"1",2,2,2,2,2,2,2,2,"26200519fc50421e9124dc3852fa642b"
"1",2,2,2,2,2,2,2,2,"263386962d864374a0b0a547ec62a350"
"1",2,2,2,2,2,2,2,2,"2641680671474fe9bcaa1400527c6fad"
"1",2,2,2,2,2,2,2,2,"2647383402b94a0ab2a5c9833b84ab94"
"5",2,2,2,2,2,2,2,2,"2651254af3e44058890c9eb3c3409a41"
"2",2,2,2,2,2,2,2,2,"26632ef456944935a402d8947d1a2c3b"
"1",2,2,2,2,2,2,2,2,"2679d8e3f29c45da958667e8eb732ac6"
"1",2,2,2,2,2,2,2,2,"2685a33ecb68466d999caae3bdbdd921"
"1",2,2,2,2,2,2,2,2,"2699e718776c46c3bce1a0e2bec03fce"
"2",2,2,2,2,2,2,2,2,"26fd29cb66cb42188654bd687cc1bc49"
"2",2,2,2,2,2,2,2,2,"27097004d4f94669ae340ca26746683a"
"2",2,2,2,2,2,2,2,2,"27237f19b78242dbbc6cb7d6b3b68dcb"
"2",2,2,2,1,2,2,2,2,"27601ff81e98425c8616230962088eb4"
"2",2,2,2,2,2,2,2,2,"276430fd8d7e4c538fcf6a118cc79610"
"1",2,2,2,2,2,2,2,2,"277509c12a5148299027784fbb1bfd7c"
"2",2,2,2,2,2,2,2,2,"27a093bc2d67470cbe5e4924512c041c"
"1",2,2,2,2,2,2,2,2,"27aef0587e66425bba00b0b95bbae4d2"
"1",2,2,2,2,2,2,2,2,"27b67fdbc2714612b5230aff5b13d30b"
"5",2,1,2,2,2,2,2,2,"27b6e91ecead43f9b441b684d9d0bc6d"
"5",2,2,2,2,2,2,2,2,"27c63ae2e23b464bb4b4761b51f89625"
"1",2,2,2,2,2,2,2,2,"27ce738560f943668b37d06deeba9ce9"
"2",2,2,2,2,2,2,2,2,"280407199a6e4a3a98802ff094d8067a"
"7",2,2,2,2,2,2,2,2,"281285cc889c4acfa7db3eaeb3bc8f8c"
"2",2,2,2,2,2,2,2,2,"281c1e9727e24f3ba38cd4bdaec4edf0"
"6",2,2,2,2,2,2,2,2,"2858bff25590478ea65c2b384ddf1351"
"1",2,2,2,2,2,2,2,2,"286fb3a948f0476582bda5f78b7d1a5d"
"1",2,2,2,2,2,2,2,2,"28903024ec5c400c83377c8415c3f5a1"
"1",2,2,2,2,2,2,2,2,"28a5169634564a4eb24773c42a88e997"
"1",2,2,2,2,2,2,2,2,"28b00383e78549e59d1653af0d7a1105"
"2",2,2,2,2,2,2,2,2,"28fae53d8b8b40708861a82637daba05"
"1",2,2,2,2,2,2,2,2,"291f57c9d36241a0aea055acaa9e20ff"
"2",2,2,2,2,2,2,2,2,"292b612919db497d9aa8a0f850c604a0"
"3",2,2,2,2,2,2,2,2,"29559b97fd1542908cd36929b5c0efdf"
"1",2,2,2,2,2,2,2,2,"29a67b11717b4451a085eb6a9b3d95ee"
"1",2,2,2,2,2,2,2,2,"29b3e9c41d9d4311b1fe99bf9889b26b"
"1",2,2,2,2,2,2,2,2,"2a265ea8d5a641f8ac41198dbcce2d94"
"1",2,2,2,2,2,2,2,2,"2a3fdc60eacb43afa748089b59e75d72"
"2",2,2,2,2,2,2,2,2,"2a4e78a423c44854b320caf10951c60b"
"3",2,2,2,2,2,2,2,2,"2a6a9fb7838e45c0ab276efc1347cdd2"
