"PID","t31","t32","t33","t34","t35","t36","hhid"
8,2,,2,,,,"35ed3b24db664eb2be9015916e928423"
3,1,2,1,2,98,,"35f827395e5c46d4b16007db4604315f"
5,2,,2,,,,"36badb2c6dc844c8a2cb27a16ed7b9cc"
7,1,1,1,2,2,,"37cc1f4211c74fe8864dc44b67591f92"
9,2,,2,,,,"37ced188b419478281bc403e3be1e44e"
4,2,,1,2,2,,"37f757786d654e0191319daad772971e"
5,2,,2,,,,"385ee20107e34ab1814d1afcafe49eac"
7,1,1,1,2,2,,"39188f8ad93d48efb2c49ae5d71350bb"
8,2,,1,2,2,,"39e0390acf4e4a9ab1afebf87d1caf72"
14,2,,98,,,,"39fffc7e84ed4f3199acc6c112eb51a1"
12,2,,2,,,,"3b469b3a994f4617aaf0ec64d1483140"
-999999999,2,,1,3,2,,"3baf50e92b894c2ea14fc2c34b4a020a"
4,2,,1,2,2,,"3bb537a34ec14d16bb9f3c8b5d66dd83"
11,2,,1,2,2,,"3d5c19ea73524c6f9a932a062e0b2b3a"
5,1,3,1,2,2,,"3d633012f62f4a1693b032bb87573c1e"
3,1,1,1,1,2,,"3e147b9e732b405fb61098cbcc88c7b5"
11,1,2,1,2,2,,"3e4c1cb508fe44b4b5898195d7bc941f"
5,2,,2,,,,"3f39cc086d5f4cd383549baf15963bec"
6,1,1,1,1,2,,"3f883779aa6e46ea96315b4730bdeb1c"
10,2,,2,,,,"3fbba4bc945f48e5b07ccf0a706d2194"
9,2,,1,2,2,,"4074d14cddb64a649e69a08c760028a9"
8,2,,2,,,,"41e2ca525f8c47bb8ed1cd9fc94325f1"
6,2,,1,2,2,,"420750aef42a46139e6eb109f0fc28c1"
4,2,,1,2,98,,"429582d862904d3f8aff6b20a922100c"
5,2,,1,2,2,,"42d0fc47682646d59cb2e649862cb2eb"
5,2,,1,2,2,,"435aad8bd25744e69e6d88b433715d15"
4,2,,2,,,,"436745efc56f4db89ab6aa60196163d1"
7,2,,1,2,2,,"441cda37b3414e07a6593efba2c48717"
-999999999,2,,2,,,,"447eac4627444ec1bea1f94f10d20ac8"
11,2,,2,,,,"45ffec175cab46ff95d72b6f6f651b39"
7,2,,2,,,,"46235a9f1237490b8d6433136a08bd86"
18,2,,2,,,,"468e3f6ef60a49e1b311c81dabce6226"
4,1,2,2,,,,"46c75559ccb44ebf89eedefa432db56f"
6,2,,2,,,,"471d44ec2f89422e90c75f16e4bbe19f"
13,2,,2,,,,"477360319e3b4caaac9c57d73c0a901b"
-999999999,2,,2,,,,"479f4db7643b44ca9d207aa5990a646a"
8,2,,2,,,,"4944e273d5224ecdb7bfabac6441bda8"
7,2,,2,,,,"49929536f6b141e0ad8f8a5e673a54e4"
8,1,2,1,3,2,,"49f702073f024c4f862a92d891c23109"
9,2,,2,,,,"4a1f47b4e0444a02b783530ac4fbbd54"
3,1,2,1,2,2,,"4ac55f9511c249788e31b82f62b6e15f"
6,1,2,1,2,2,,"4b54ec189b39476582f02f0f738e0b0e"
9,2,,2,,,,"4be8baf668ed4356bd768021e74a90b6"
3,2,,2,,,,"4cfc17444f5347f2b63940f96adcfdff"
8,2,,1,2,2,,"4d0cc584b9b945f8bc1674879d356ed0"
12,2,,2,,,,"4df0393b234448c4a01934c4b561190d"
11,2,,2,,,,"4e2424dc07714ba89d16e85c276e5ff3"
13,2,,2,,,,"4e5f64a99c6547cf94b40d8e18f8c889"
13,2,,2,,,,"4e79b8455c794fe28a3ee745cd1fa4c5"
4,1,2,1,2,2,,"4eb8fe775c964ecaa2173d058d32d891"
7,1,2,2,,,,"4f2dcc04814146faabcbbfe91f264293"
3,2,,1,2,2,,"4fb03625fa6241a8895622252c8bd2fd"
4,2,,2,,,,"51b75d7c4ac54a85b5406d69f3c3e020"
9,2,,1,2,98,,"5271dffd0ee74ae8a50f7a3b9cf68d57"
3,2,,2,,,,"531f932f7d3744308f1c7f3c847cc75d"
3,2,,2,,,,"53399ff70da24959b55f07ef32e68cdb"
7,1,1,1,2,2,,"542bc4afbc2440c796d9ca699bb8b103"
10,2,,1,1,2,,"545edc11914246b580410d5426edf258"
12,2,,2,,,,"54d01494a9d946cb8a27022831e34162"
8,2,,2,,,,"5607c038dc64441e8c59d1e05d4951da"
6,2,,1,2,2,,"56a0fed34740470987aa0b6052b6909a"
5,1,2,1,2,2,,"56e3e1c314164a0fa1a2774e2b0b5d67"
10,2,,2,,,,"573c6349c76242f5b6e860ce81436a70"
-999999999,,,,,,,"57942f9f28114956a8237cea9cd36980"
6,2,,2,,,,"57ae070c1d7b4e8e944702dfb0583a05"
8,2,,2,,,,"57da26b97b97492ebe603668a5cc9bdb"
4,2,,1,2,2,,"58082b68a19d4c94bc68b782dc32c08c"
3,2,,98,,,,"58a70201e82842bf8aa7e876027b062d"
7,2,,2,,,,"58cf8ecb501b45ecb5c87fd71558f4b4"
-999999999,2,,2,,,,"58eceee2ee434848a3089c064bcf7721"
4,98,,2,,,,"59316d9321ae4af993df50884e750a71"
11,2,,2,,,,"594e3f9e818041ea9503576b21b74977"
-999999999,2,,1,2,,,"59950365ce924fbeade7ffc07ed6005b"
6,2,,1,2,2,,"59af43dd132840e7a3d907037ed3e8e2"
7,2,,1,2,2,,"59e9cfa7d69d431385ca9aa6c9d789b9"
4,2,,2,,,,"5a4cafd1a6114325a790f9ff6a5c2d7b"
7,1,1,2,,,,"5a5af9e0c5ea4a94a8071e56c277b3ae"
6,98,,98,,,,"5ac46de58fdd4a6287280f189952a28f"
5,2,,2,,,,"5b3f449e0899444ea283af63d8bb63f7"
14,2,,2,,,,"5b40bcbd3b7e4c51aca08b7c7e27922d"
6,2,,2,,,,"5ba24740654f468994dec57f3196f105"
4,98,,98,,,,"5c9e36ac584945878990e72179fa4766"
12,2,,2,,,,"5ca1c7853cb8405da3bad7f88c61e6ae"
7,2,,2,,,,"5cc21d790c8d43e19134c3d06b510440"
6,2,,2,,,,"5d9e89e7fa574156a0d8083eaae19c97"
-999999999,2,,2,,,,"5ea0ff6c6cdc4a3da2ece713f7a38d90"
9,98,,98,,,,"5f869d74cb7847faa9014b1f9feaa239"
12,2,,2,,,,"5fb04dcdf9204b1aafcf52cf33a45555"
7,2,,2,,,,"600b3c89a6af42e0afb57da459a48d12"
8,2,,1,2,2,,"6033318b4d9b40c0be9d6af56b4243d4"
8,2,,1,2,1,1,"6054f4586c2e42029b16a68e1e57390a"
7,1,2,1,2,2,,"6091c4ecb9bd4c6f97eb0be6c93a5dd5"
5,2,,1,2,2,,"60e7140ffa4444c8a66604d6d775fc56"
6,2,,2,,,,"615238b7741c46738f4d7f57394fc606"
7,2,,1,2,2,,"62f7f39afcd14f4e847cb535a4a4edd2"
10,2,,2,,,,"632545c257874a7ab6311d70e74321bc"
11,1,2,1,2,2,,"63d68e788cec45b8b21ccb97b0f532d0"
4,2,,2,,,,"64ac3328a38747a8b77a2b4ac460c0a1"
3,1,1,1,2,2,,"64e1c1594a12465f9bb9f4dc7d570db2"
3,2,,2,,,,"66443b76761442b7ae9f75ac22b46e50"
6,2,,2,,,,"66959d5454ec43c7861bec7889849ad1"
5,2,,2,,,,"66c88c6ac9de4c13ab44e35044e1d11a"
5,2,,1,2,2,,"673dd0e3652a4d2c8fa055c7c58232fb"
6,2,,2,,,,"6764c2a9e2c441a1ad4f637da4f63c84"
17,2,,2,,,,"68b753ff1a69455ea2cd05c11bde81ed"
14,2,,2,,,,"68e2e3f630be4cc788a3c61f6b522b3a"
6,2,,1,2,2,,"69389211ef9543f09dd0b955bd7ba94b"
9,2,,2,,,,"69e60ef72eeb4fd2ab11d162e08170b7"
4,2,,2,,,,"6a1f1d0492b24ece992a0caf323e9157"
6,1,2,1,2,2,,"6ad635d3403248979bbd95c911af620c"
10,2,,2,,,,"6b9817aa4acf488b802fa5eb006f009a"
4,2,,1,2,1,2,"6bd3cf7a1e4345c4b67abce238dc828d"
6,2,,2,,,,"6be232699e70435ba9cd8db725d1cd7d"
4,1,1,1,1,2,,"6c46bb0e515843ccbd9151bdd525fccc"
5,98,,98,,,,"6cd20f63b8e34c9baf5870e84eab5d2a"
4,2,,2,,,,"6cdd4fcbbcfe414d9686fdd2c404dc8b"
5,2,,2,,,,"6d744b34367e4b1285aadf0502734121"
4,2,,2,,,,"6e36743f363a4cdd819cf27aeac8de96"
4,2,,1,2,2,,"6e8c9d3f6c874230bcbedc3f9f0285a6"
5,2,,2,,,,"6e8f6671ab714ac3aebab5f540c0d440"
12,2,,2,,,,"6ec00f7d379e4cceb131ac9725f35b1a"
7,1,2,1,2,2,,"6ed7bea2de0e4fe19ac7e0a5a7e0c5f9"
9,2,,2,,,,"6f0634b271dd4ebabaca45a0579a1a69"
4,2,,1,2,2,,"6f3b0e49990144ff9e75ee145a362444"
5,2,,2,,,,"6f502e1e043449cab9a278cbfd4c30f8"
7,1,1,1,1,2,,"6f830ce7d01c422cb12c8b5c8b9c96ee"
9,2,,1,1,2,,"6fdb9e65588f4e288c279e8301d04706"
8,2,,2,,,,"700070912677437580e7da3eb10c7734"
10,2,,2,,,,"702d4b2225ab4dbe92a40506296adf2d"
