"hhid","PID","pid_unps","t0_hhid","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"00e23121bad94719bff27f93646437b3",4,"P23707-007","H2370701",2,3,12,,1,6,23,8,2012,
"00e23121bad94719bff27f93646437b3",5,"P23707-008","H2370701",,,,,,,,,,
"00e23121bad94719bff27f93646437b3",6,"P23707-009","H2370701",1,6,12,,1,20,98,98,1998,5
"00e23121bad94719bff27f93646437b3",7,"P23707-010","H2370701",1,3,12,,1,4,15,6,2014,
"00e23121bad94719bff27f93646437b3",8,,"H2370701",1,3,12,,2,13,31,12,2004,5
"00eb1114df14443a9effe1db5343435d",1,,"H0590907",1,1,12,,1,29,12,12,1989,1
"00eb1114df14443a9effe1db5343435d",2,,"H0590907",2,2,12,,1,19,28,10,1999,1
"00eb1114df14443a9effe1db5343435d",3,,"H0590907",2,3,8,1,1,0,16,4,2018,
"00f1eb71d428408f888b058a8e8664fe",1,"P05310-001","H0531001",1,1,12,,1,70,98,98,1948,1
"00f1eb71d428408f888b058a8e8664fe",2,"P05310-014","H0531001",2,2,12,,1,38,1,1,1980,1
"00f1eb71d428408f888b058a8e8664fe",3,"P05310-016","H0531001",,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",4,"P05310-017","H0531001",2,8,12,,1,9,98,6,2009,
"00f1eb71d428408f888b058a8e8664fe",5,,"H0531001",2,8,12,,1,13,3,6,2005,5
"00f1eb71d428408f888b058a8e8664fe",6,,"H0531001",2,8,12,,1,11,2,6,2007,5
"00f1eb71d428408f888b058a8e8664fe",7,,"H0531001",2,8,12,,1,6,98,7,2011,
"0101511a1da74f35b4fb8fd0c2cf8e69",1,"P37305-003","H3730501",1,1,12,,1,48,98,98,1970,1
"0101511a1da74f35b4fb8fd0c2cf8e69",2,"P37305-002","H3730501",2,2,0,17,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",3,"P37305-003","H3730501",1,3,0,18,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",4,"P37305-005","H3730501",2,3,12,,1,19,15,5,1999,5
"0101511a1da74f35b4fb8fd0c2cf8e69",5,"P37809-014","H3730501",2,4,0,20,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",6,"P37305-006","H3730501",1,3,4,15,4,19,1,3,1999,5
"0101511a1da74f35b4fb8fd0c2cf8e69",7,"P37305-007","H3730501",1,3,12,,1,17,8,8,2000,5
"0101511a1da74f35b4fb8fd0c2cf8e69",8,"P37305-008","H3730501",2,3,12,,1,15,27,10,2002,5
"0101511a1da74f35b4fb8fd0c2cf8e69",9,"P37305-009","H3730501",1,3,12,,1,13,26,10,2004,5
"0101511a1da74f35b4fb8fd0c2cf8e69",10,"P37305-010","H3730501",2,3,12,,1,11,3,8,2006,5
"0101511a1da74f35b4fb8fd0c2cf8e69",11,"P37305-011","H3730501",1,3,12,,1,10,24,3,2008,5
"0101511a1da74f35b4fb8fd0c2cf8e69",12,"P37305-012","H3730501",2,3,0,17,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",13,"P37305-013","H3730501",2,10,0,18,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",14,"P37305-014","H3730501",1,4,0,20,7,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",15,,"H3730501",2,2,12,,1,33,98,98,1985,1
"0101511a1da74f35b4fb8fd0c2cf8e69",16,,"H3730501",1,3,12,,1,2,20,6,2015,
"0101511a1da74f35b4fb8fd0c2cf8e69",17,,"H3730501",2,3,12,,2,6,98,98,2012,
"0101511a1da74f35b4fb8fd0c2cf8e69",18,,"H3730501",2,5,12,,1,86,98,98,1932,4
"0101511a1da74f35b4fb8fd0c2cf8e69",19,,"H3730501",1,3,12,,1,23,5,10,1994,5
"0103050b934841289df128242538e3ea",1,"P24511-007","H2451101",2,3,12,,2,17,1,7,2001,5
