"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q30d","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","dwellingVisit"
"040b3ad7eb264e30acc111646f03422a",10,10,4,10,2,2000,1,3,,,,,,,2,,,,6,2,,1,,4500000,2,10,12,13,14,96,10,5,0.2,7,2,,,10,1,2,,2,180,1,4,21,1,1,1,1,1
"040ceeba10fc44d19c9499e31e34fbfc",10,10,1,5000,1,1991,4,1,1991,1,1,,,,2,,,,6,2,,1,,400000000,5,10,12,13,10,,,,,5,1,1,50000,,,,,,120,8,1,21,1,2,2,1,1
"041a9f28bf614e328a856c240a3abd03",15,11,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,14,6,5,3,0.2,1,2,,,10,1,,,1,20,1,4,22,1,3,1,1,1
"044116a438c040a898ba43daf6bdc2ea",10,10,4,1750,1,1990,3,3,,,,,,,1,3,,,1,2,,1,,20000000,2,10,12,13,14,6,30,15,0.5,2.5,2,,,10,5,7,8,1,60,8,2,22,2,,1,2,1
"0442775d8d424d59a433ab5940d510ca",10,10,3,2,1,1963,2,3,,,,,,,1,1,,,2,2,,1,,2000000,2,10,12,14,16,2,25,2,0.3,5,2,,,10,2,3,,1,60,1,2,22,2,,1,5,1
"046067ad635647c5a02c03f1790df520",10,10,3,10,3,1984,1,3,,,,,,,2,,,,2,2,,1,,24000000,4,10,12,13,14,1,10,20,0.5,20,1,1,32000,10,5,6,9,1,120,1,4,23,2,,1,1,1
"0464b7af72994dea923644331716d84e",16,10,3,1,1,2006,2,1,2007,1,1,,,,2,,,,1,2,,1,,1200000,3,15,16,14,14,6,15,5,0.2,5,2,,,10,2,4,,1,40,2,4,95,,,,2,1
"0469f55ab1f549dabf8e97afae3f2065",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,13,13,14,6,6,15,0.1,1,2,,,10,3,,,1,20,1,4,23,1,1,1,3,1
"0495834806fb40adb50e0fd619ef5094",10,10,4,720,2,1966,1,3,,,,,,,2,,,,6,2,,1,,4,4,10,16,96,15,,20,5,0.5,10,2,,,10,4,6,10,1,120,1,2,23,2,,2,1,1
"049dc3291e444c9193fc506570f6a26e",11,16,,,,,,,,,,,,,,,,,,,,,,,2,10,12,13,11,,,,,20,1,1,25000,,,,,,80,2,4,21,1,4,1,1,1
"04ae6a51ffbb459a9b00dc5265f4a034",10,10,3,230,3,2014,1,3,,,,,,,2,,,,2,2,,4,2,2000000,1,15,14,14,15,,15,20,0.5,4,2,,,10,1,3,4,1,60,1,4,23,1,1,1,2,1
