"hhid","PID","t31","t32","t33","t34","t35","t36"
"20f00ceea7d34ca3ae64cc57b6beaf86",3,2,,2,,2,
"21044f9fc88e4c24a5428fdd5e0f14a6",7,1,2,1,2,2,
"2140c5c82fb2488b8e6036d60d423225",7,2,,2,,2,
"21944e9e090548d9a50673fe2601883a",6,2,,2,,2,
"219f2a7d3ec84bada34f1484f4c83d40",6,2,,2,,2,
"21a9703d5a584c8a9db2416f2de76485",5,2,,2,,2,
"21d47202fc3b40a28314cce1f536c864",6,2,,2,,2,
"21f10611df214254b3541c9eb5c93c13",4,2,,2,,2,
"224c1dab76684d34bde4139b30cf9aab",11,2,,2,,2,
"228ea02d49594149a81805983d000ce9",3,1,1,1,2,1,1
"22e3ffc6fb744497ae61f2b8f386983f",2,2,,2,,2,
"22f1abe41cf647788695382514c0e513",6,2,,2,,2,
"23209e24c96541a1af7969ab4c73d35c",8,1,1,1,2,2,
"2342cd7d1e3d4166aab8918e8555d0d0",5,2,,2,,2,
"2354aa9ee2ae4dc7b1401ec1ea40ac5b",4,2,,2,,2,
"236cfc7a73be4fbf961dfe0e1da153f0",10,2,,2,,2,
"23825fe7c5d9468fac206ac53bb12e1a",7,2,,2,,2,
"242b689ce8ac46a8ad1ac1b4d235ba50",10,2,,2,,2,
"243f527c062042cda6f6f303038f8dac",3,2,,1,2,2,
"2457c1a0b4fa4876ae3f85c8b2a31dbc",7,2,,2,,2,
"24986699bf914802aa52cc82ae3f08ed",8,2,,2,,2,
"249c428c330a48f2a07de4ea7142aed5",5,2,,2,,2,
"25433274635a41ac80e8eeb62a694a1a",7,2,,1,2,2,
"254b5177919248e58082e007fa510e11",3,1,2,1,2,2,
"25bca54a351240c7900a48203fade4b4",8,2,,2,,2,
"25db106efa724efdb5c0420e2bd97944",7,2,,2,,2,
"25ef06fd5b5e476592286c005f1f0ef8",4,2,,2,,2,
"2628668b68a743a887d2ac87bc06bd7f",12,2,,1,2,2,
"26372ce413f748b98a3b3d1b1ee64608",6,2,,2,,2,
"26768b1d2b1c4607839b37dabeb8f1f6",4,2,,2,,2,
"26c05771d2a0402ca79673bd662a8a43",9,2,,2,,2,
"26c6c03b42fb410fb8196891d615f3f6",4,2,,2,,2,
"26cdf966ad3d4347a3b64baeba4acc3d",11,1,2,1,2,2,
"27152e297a8c4597b78ec2bb9ee0c49d",4,2,,2,,2,
"275628d5ba744b6585a7e7b6f5ba8e45",12,2,,2,,2,
"2793689c81fe4a66a7cfe86d1b3150f9",9,2,,2,,98,
"2799950e3b464fd1b3458b74361da9b9",13,2,,2,,2,
"27c26465f6b24f4b905d7e487640e1cf",3,2,,2,,2,
"27deb27ff8c24d329308cc89acb73891",9,2,,2,,2,
"282cd74076c2438f921c0ccf6160fdfe",12,2,,2,,2,
"2888a6c6ce074d8f93c49ae5f7abcc7c",6,2,,2,,2,
"28b5dd676913440182de271b1669ac69",3,1,1,1,1,2,
"28cd2ccd0f144e4c816092654cfc2727",7,2,,2,,2,
"28cf2e844e8f4445bf3bfccc02b66b49",4,2,,2,,2,
"28cfecdc40fb49b1b9bb757b7bb7626e",6,2,,2,,2,
"28d1746496ae4f63975319dc27f41ae4",6,2,,1,1,2,
"28e152a2974244b19c05b3ce649c4ad5",6,2,,1,2,2,
"29289812788e41029ba621c1f9e300fc",5,2,,2,,2,
"29d372b1412b47f8a56376ec4cf28707",9,2,,2,,2,
"29dcaae51e0c4eb1af6e61890ed94c84",3,2,,1,2,2,
"2a44b004de2f4686bde1e410c0ab6588",6,2,,1,1,1,2
"2a4a4d639a864da0802b0c7528b8527e",7,2,,2,,2,
"2a51f29fbf274a588d3017cbc2c50dea",7,1,1,1,1,2,
"2a8596db3d5a4dff968707a60106ca7f",7,2,,1,2,2,
"2a85bdf4a0974fc28b8cba8aebdb3e94",4,1,2,1,2,2,
"2b1dcf8e46814b0d86fa770b4e497071",6,2,,2,,2,
"2b537f6c15e7415f88963d61ebc2486a",12,2,,2,,2,
"2b6eb2adc2734720993dcdf13102a524",7,2,,2,,2,
"2bea05c273944082b1c5fbd6b391e0a8",6,98,,98,,98,
"2c26585736444489a370ee90f939872c",6,2,,2,,2,
"2c5fb73501804b39ad74d51b52188688",6,98,,98,,98,
"2c788389ef5042f1bbf453bbce1e82fb",7,2,,2,,2,
"2cb804b7711d43ba95d3df4f65936505",3,2,,2,,2,
"2ccb2dbb24b4411ab872957322c924ba",4,2,,2,,2,
"2cd3e8dd3996444786090cdb6dde6914",5,2,,2,,98,
"2d683a86b3e247ed8e8d9c59c8dba618",8,2,,2,,2,
"2d7073406afa4cdcb09254fbfb1212e2",8,2,,2,,2,
"2da7d0700b344400bedff350462b9339",6,2,,2,,2,
"2db5794700a442ada4dacc58fbefc9ca",11,2,,2,,2,
"2dd2557915434dc3ad1a4e556487a285",4,2,,2,,2,
"2dd973cdd68e4aebb9022299bb510b2d",6,1,2,1,2,2,
"2e24a9f67c484ace96e7b4801f273a95",11,2,,2,,2,
"2eb976486cfa4f4b992d87c52227a2d3",9,2,,1,1,2,
