"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17ab","s8q17","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d"
"e73e28f51ff4492f84d3b9da6cc8ad69",1,1,,2,1,2,2,2,1,2,,,,,"RADIO REPAIRING",3,31,311,3113,1,"RADIO REPAIRER",191111,96,960,9609,1,3,,,,,,,,,,,2,2,1,2,5,4,2,,,,,,,,,,,,,,8,12,12,0,12,12,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"e73e28f51ff4492f84d3b9da6cc8ad69",2,2,1,1,2,2,2,2,1,2,,,,,"CASUAL CROP LABOURERS",6,63,631,6310,1,"CASUAL CROP LABOURERS",11111,1,11222,111,1,1,,2,2,2,2,2,1,,12,4,,,,,7,5,2,,,,,,,,,,,,,,0,7,7,7,0,0,7,,,,,,,,1,1,5000,2,,2,,,,,,,,,,,,,,,,
"e756f8884324418f875b4d6fa15fb6f5",1,1,,2,1,2,2,2,1,2,,,,,"motorcycle mechanic",7,72,723,7231,1,"MOTORCYCLE GARAGE",71111,45,454,4540,1,6,3,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,6,9,8,9,9,4,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e756f8884324418f875b4d6fa15fb6f5",2,1,,2,2,2,2,1,1,2,,,,,"Growing crops",6,63,631,6310,1,"Agriculture",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,6,5,5,0,4,0,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e756f8884324418f875b4d6fa15fb6f5",3,2,2,2,2,2,2,1,1,2,,,,,"Growing crops",6,63,631,6310,1,"Agriculture",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,6,0,0,0,0,0,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e756f8884324418f875b4d6fa15fb6f5",4,2,2,2,2,2,2,1,1,2,,,,,"Growing crops",6,63,631,6310,1,"Agriculture",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,4,0,0,0,0,0,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e760698f8dba4e6199907cc2532107f2",1,1,,1,2,2,2,2,1,2,,,,,"secondary school teacher",2,23,233,2330,1,"secondary school teacher",161111,85,852,8521,1,1,,1,1,1,1,1,1,,8,4,,,,,2,4,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,1,1500000,4,,1,,,,,,,,,,,,,,,,
"e760698f8dba4e6199907cc2532107f2",2,1,,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"e760698f8dba4e6199907cc2532107f2",3,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7736d681f304a2e8a352dd2bd571227",1,1,,2,1,2,2,2,1,2,,,,,"weaving of baskets",7,73,731,7317,1,"weaving of baskets",31111,23,239,2399,1,3,,,,,,,,,,,2,2,1,2,7,1,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7736d681f304a2e8a352dd2bd571227",2,2,1,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"e7a027ff891343eb9f96d1b79fc1d497",1,2,4,2,2,2,2,1,1,2,,,,,"Subsistence crop farmer",6,61,611,6114,1,"Subsistence crop farming",11111,1,12222,129,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7a027ff891343eb9f96d1b79fc1d497",2,2,4,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7a027ff891343eb9f96d1b79fc1d497",3,2,4,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,10
"e7a027ff891343eb9f96d1b79fc1d497",4,1,,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7a027ff891343eb9f96d1b79fc1d497",5,2,4,2,2,2,2,1,1,2,,,,,"Subsistence crop farmer",6,61,611,6114,1,"Subsistence crop farming",11111,1,12222,129,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7b2a8826af4454b8ce0f34b0af210b6",1,1,,2,2,2,2,1,1,2,,,,,"GROWING NON PERENNIAL CROPS",6,61,613,6130,1,"AGRICULTURE OF NON PERENNIAL CROPS",11111,1,15222,150,1,3,,,,,,,,,,,2,2,1,2,5,5,2,,,,,,,,,,,,,,0,6,6,6,6,6,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"e7b2a8826af4454b8ce0f34b0af210b6",2,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7b2a8826af4454b8ce0f34b0af210b6",3,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7d658b85bbd4e5b885fbc0104240253",1,2,2,1,2,2,2,2,1,2,,,,,"Garbage collector",9,96,961,9611,1,"Garbage collector",191111,96,960,9609,1,1,,2,2,2,2,1,2,5,12,4,,,,,2,4,2,,,,,,,,,,,,,,0,7,7,7,7,7,7,,,,,,,,3,1,220000,4,,1,,,,,,,,,,,,,,,,
"e7d658b85bbd4e5b885fbc0104240253",2,1,,2,1,2,2,1,1,2,,,,,"CROP FARMING",6,63,631,6310,1,"subsistence crop farming",11111,1,11222,111,1,3,,,,,,,,,,,2,2,1,2,7,5,1,"RETAIL SALE OF PAPYRUS",7,73,731,7317,"RETAIL SALE OF PAPYRUS",71111,47,479,4799,3,7,1,0,6,6,6,0,0,0,5,0,0,0,5,0,0,3,,,,,,,,,,,,,,,,,,,,,
"e7d658b85bbd4e5b885fbc0104240253",3,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7d658b85bbd4e5b885fbc0104240253",4,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
