"hhid","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3"
"31d7468554bd42e2b42353d2a12fd69e",4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"31dfcc57039b4ac2a94a8baa379d1386",4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"3320ef7c916142e5a2bbdc984aa4cf16",6,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3
"33a3fafffb4a474fb4621d9ae24c52b6",11,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3
"340f7d1cd070433289233c47135b8390",4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3
"34d21965473246159336463c8a6ed1d9",8,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,3
"357decf44a614ba1a851b036ffc037ab",4,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3
"361db5497c524c4fab8063f627314604",9,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"36386237ed3b4607b384a88bbf8c5ad2",4,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"36908497431a4492a6666712b94073cf",9,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36992f498601434baac9c51a693c27d8",4,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1
"36b1194afa2a46889b315a883249769f",5,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"36e81608b34e4e338d21b0a091c58690",7,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3
"372c6c08f26647e4844a6fc84cf19cb7",4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"37b70f60adc947949a9b765afb45d71f",8,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
"37c65147f7534277984447a500ea7c3c",4,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3
"37cd7a15e3294dc29c63e8bb05955312",11,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"38c6499533984b3c8669e1caa56d0c3d",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"3b486c0be9c6474c803bbeb58aaa0a14",3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,7
"3b73ebe890704075a97c2d67ff10ff7f",8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3b742e0ce416464e80f71829661c95f3",5,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"3d934f9027c042ad8a18718ff3574514",3,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2
"3dd19e9d91eb4d9dbbc12fe2148b7d34",10,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2
"3df762b88c104fceac94e41661800423",4,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3e585de4d95e4b06be8f7a11274483c3",3,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"3e7e8b3de8784bb9b765f4c7752b6ded",8,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"3ee43e751a664d1abe9b26f5977c9a34",5,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"3f36b6cbcf534a88b49d9f3845f65470",7,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
"3f6bbcf02a1149a484cc0f0f663c54db",10,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,3
"40a59bc3945747cfa11872b03e97172b",9,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"41161a7161a7457b84a221d17c13782c",4,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
"42549bd20c7345fcaa241afa7dedb364",7,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,5
"42c89a0c06dc406daf794cef54865d89",9,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"42d4c1e7b7984e4790ee7ddae6727a71",6,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2
"42f4799429c6490ebbcd277e13fa744d",6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3
"431957a3478248aeb6c4637eda5a1ad4",9,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
"435987dbfde14869be5af088f849bbd4",8,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4
"43676e7af3a347c390eb7bc294784dfd",6,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2,3
"439470905bc046a3b4ca092ebbb281fc",4,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
"440dd7875bc345c7b08b421faa512592",7,,,,,,1,,,,,1,,,,,,,,,,,2
"4431b77d140142969216b6a63dc40667",9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
