"hhid","hhidold","batch","region","regurb","subreg","district","dc_2018","s1aq02a","cc_2018","s1aq03a","sc_2018","s1aq04a","pc_2018","urban","response_status","year","month","day","wave","wgt"
"2429ea144b6f4c41b194a3e6237278ac","d06bb6055dd4434a96fef1e6e7ba4450",379,2,20,7,"KUMI",208,"KUMI",1,"ONGINO",7,"OBOTIA",13,0,1,"2019","06","25",8,555.127981110336
"242b689ce8ac46a8ad1ac1b4d235ba50","fbbb6a049ecd4658aaa4876dfd82cf60",1134,2,20,4,"BUGWERI",203,"BUGWERI",1,"BUGWERI TOWN COUNCIL",7,"IDUDI TOWN BOARD",6,0,1,"2019","08","15",8,16057.3993981821
"243f527c062042cda6f6f303038f8dac","6d271125688e4ce28b3d41e7a4d8bd63",1025,4,41,14,"ISINGIRO",418,"ISINGIRO",2,"NYAKITUNDA",9,"RUHIIRA",7,1,1,"2019","05","19",8,10380.4439504573
"2451893ed622478f9ad724cc2eaadfb4","f65bacd459a642efba404e2091e510ad",624,3,30,9,"LIRA",307,"ERUTE",1,"AROMO",5,"ACUTKUMU",1,0,1,"2019","08","19",8,1048.74542434118
"2457c1a0b4fa4876ae3f85c8b2a31dbc","9c286b18f3eb44478ae06d4cf5561f48",875,4,40,13,"KABAROLE",405,"FORT PORTAL MUNICIPALITY",3,"SOUTHERN DIVISION",2,"KIJANJU",3,0,1,"2020","01","20",8,1297.55549380716
"246c247a85b54d91bc96fbf0eff7e646","4f64ecf236d84a5fb017bcfaa41c523b",531,3,30,9,"APAC",302,"MARUZI",2,"IBUJE",5,"AMIIABERIDWOGO",5,0,1,"2020","02","23",8,1048.74549883208
"246cc95f0ab146bab9cdf19eff36c3e4","31a28b3746724f9d8c45280f0665e0cd",528,3,3,9,"APAC",302,"MARUZI",2,"CHEGERE",4,"CHEGERE",5,,1,,,,8,524.372749416039
"24986699bf914802aa52cc82ae3f08ed","cb51943f6f234b808dd6bf9bcb4b2d2e",1089,4,40,13,"BUNYANGABU",405,"BUNYANGABU",1,"KIBIITO",4,"KASUNGANYANJA",2,0,1,"2019","09","19",8,1012.07589247224
"249c428c330a48f2a07de4ea7142aed5","7eb26cb4d7174282b39adb7e1eb92dd5",467,2,20,6,"NAMISINDWA",223,"BUBULO",1,"MAGALE",21,"BUSIMAOLYA",3,0,1,"2019","05","16",8,4441.02384888269
"24a4a03559fd4791a2128a52f24e0435","156df40d4f9c476c80ebbb625b8d60ec",293,1,10,2,"LWENGO",124,"BUKOTO",1,"KYAZANGA",3,"KAKOMA",2,0,1,"2019","04","06",8,5050.75205529246
