"hhid","s17q01","s17q02","s17q03","s17q04","s17q05","s17q06","s17q07","s17q08","s17q09","s17q10A","s17q10B","s17q10C","s17q10D","s17q10E","s17q10F","s17q10G","s17q10H","s17q10I","s17q10J","s17q10K","s17q10L","s17q11A","s17q11B","s17q11C","s17q11D","s17q11E","s17q11F","s17q11G","s17q11H","s17q11I","s17q11J","s17q11K","s17q11L","s17q11M","s17q11X"
"051abf68db894b34a1ecfa22bd2a2509",1,1,1,2,3,1,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"052f8d3f81c3477aa9366a24c54ddf83",1,1,2,1,2,2,3,,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,
"0540d10333124c9ab290bb9daaf998cc",3,1,1,1,2,1,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"054124cd4eff40ec97bf51a44fe4a93c",2,1,2,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05743465c6254f7baedf141b6381f400",1,1,1,1,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05863e44874d4d0bbe8abdc95d9249b2",1,1,2,2,2,2,11,11,1,,,,,,,,,,1,1,,,,,1,1,1,1,,,,,,,
"0586e2b9bcd24aa3bf31580492500327",1,1,2,1,3,1,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"058977f6550c4624b8d171b5d1a58a6e",1,1,3,1,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0594b58cc0834586919fbbd39a0be23f",3,1,3,2,2,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"059ff457522a4a8fa64c8b2717080161",2,1,2,1,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05add010c2404efab0880200dcdc9674",1,1,1,1,3,2,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05b5aece409440ff8a1231a07558d979",1,1,2,1,0,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05b8817d114d47058c7877391323d14c",1,1,1,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05bd23b2d9d84b128c7b45db8d2da17f",2,1,2,1,3,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05cef9765f92473eb465b6dc4fac72a4",2,1,3,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"05dafcf31b4d403aad84cdfff9d1fdfc",2,2,1,1,2,1,9,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06017013809c4ccc99e9c3dcd7b3c10f",1,1,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0602eb95ac184ad3aa8fdba309f3f946",1,1,2,2,2,2,2,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1
"06122c47fee6432f8b973b9ea525fe57",5,1,1,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"061989138f624a46be5860a6f7e8934b",2,1,2,1,3,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"061d004e00b841cea0fa55802483b1b4",1,1,1,1,3,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"062f7f18a3d7429fabe2c075459a301a",1,1,1,1,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06403dbe6bbd4f1e82d16fa705c51b73",1,1,1,1,2,2,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",2,1,1,1,3,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"067e98465031426791a3853b69a9a70a",1,1,1,1,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"067f809da4ef44c8ab7ff3a16ee31672",1,1,2,2,3,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06816d8d60b141418b768b356970d613",2,1,1,1,2,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"068c76ff148d44fcbb4ab89429adcb6c",3,1,2,2,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
