"hhid","s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h"
"1dac5db687b34fd0b60a6254b5f9f850",3,2,2,2,2,2,2,2,2
"1dcb211c241b431faaf6bc44dfc18a1b",1,2,2,2,2,2,2,2,2
"1dce683cfa83471eb797fdd419bcf82c",1,2,2,2,2,2,2,2,2
"1de1d4ac39ed48d591a6ee08f1902033",2,2,2,2,2,2,2,2,2
"1de214e5f7b0487caf7a7911f07b78d7",1,2,2,2,2,2,2,2,2
"1de671dc290c488296a0d7820017baea",2,2,2,2,2,2,2,2,2
"1e5254364a5e4079a8a51db53904c345",2,2,2,2,2,2,2,2,2
"1e951f7b564247088afe5da99452ba04",1,1,2,2,2,2,2,2,2
"1eb0387601424300a1f0f9b1dc3b6c10",1,2,2,2,2,2,2,2,2
"1eba0e97660f418b922cee58f221c8e9",2,2,2,2,2,2,2,2,2
"1f3f5e2ec40a43ca9c47a872f5db02e2",1,2,2,2,2,2,2,2,2
"1f8d122263974ea08d0fc7d8d83588fe",1,2,2,2,2,2,2,2,2
"1f9dbd1c79e94b1fb924ed9184539419",1,2,2,2,2,2,2,2,2
"1fb6e880414f4ad3a2eaf4215ff6c077",1,2,2,2,2,2,2,2,2
"1fe4c1318fd54f66b040b4dfb416ef74",2,2,2,2,2,2,2,2,2
"1feae0aafc18488bb26fd8f058eec380",3,2,2,2,2,2,2,2,2
"2021bcff28dd4810913d91f5164cb972",2,2,2,2,2,2,2,2,2
"20296c93a4814fb9b7219849e175b929",1,2,2,2,2,2,2,2,2
"2049a03fbeac4ed0882fe5026f52209d",3,2,2,2,2,2,2,2,2
"206c7066bf5d4d8da3f744045dabbfe5",1,2,2,2,2,2,2,2,2
"2086f006420f42e7b9656c177859bc18",1,2,2,2,2,2,2,2,2
"20a7447637264ac081b179d69ff666da",1,2,2,2,2,2,2,2,1
"20c3b302817c417fa16380c32d06362b",5,2,2,2,2,2,2,2,2
"20d4447171b24acf99c377292747e50d",2,2,2,2,2,2,2,2,2
"20dab0d44f7d4d1c866c7ba5d226f65b",1,2,2,2,2,2,2,2,2
"20f5ad6fc2a7428086f48a00eef0980b",1,2,2,2,2,2,2,2,2
"21082748044f4531b5ca2fd46eb262e3",1,2,2,2,2,2,2,2,2
"211c7c79c5944a7f92abbeefb202a79e",3,2,2,2,2,2,2,2,2
"2140c5c82fb2488b8e6036d60d423225",2,2,2,2,2,2,2,2,2
"21612437d5fd48159947512a0830f30f",1,2,2,2,2,2,2,2,2
"21944e9e090548d9a50673fe2601883a",7,2,2,2,2,2,2,2,2
"219f2a7d3ec84bada34f1484f4c83d40",3,2,2,2,2,2,2,2,2
"21b135ceacfe44c6b35bfc0710e0060b",2,2,2,2,2,2,2,2,2
"21b9661e2f1d4176a54808373138ff63",1,2,2,2,2,2,2,2,2
"21d47202fc3b40a28314cce1f536c864",2,2,2,2,2,2,2,2,2
"21eb4154ed39408eaeb0ca0f264c67f0",1,2,2,2,2,2,2,2,2
"222ddd7beeb6427cac3030800bd3ab80",1,2,2,2,2,2,2,2,2
"223eaf0efc8f4a89a92e0835945ff65d",2,2,2,2,2,2,2,2,2
"224c1dab76684d34bde4139b30cf9aab",3,2,2,2,2,2,2,2,2
"225ce7a298b74c198057f0d963f53a72",1,2,2,2,2,2,2,2,2
"226f458fa11e4919a3a22cbece5b1056",1,2,2,2,2,2,2,2,2
"228ea02d49594149a81805983d000ce9",2,2,2,2,2,2,2,2,2
"229d2e80c4924e009daa0a7818001988",1,2,2,2,2,2,2,2,2
"23209e24c96541a1af7969ab4c73d35c",2,2,2,2,2,2,2,2,2
"2327ff79e9924751be6f311583f65b3e",1,2,2,2,2,2,2,2,2
"2354aa9ee2ae4dc7b1401ec1ea40ac5b",1,2,2,2,2,2,2,2,2
"23825fe7c5d9468fac206ac53bb12e1a",2,2,2,2,2,2,2,2,2
"23af8c0d1355477a92ad99a557c839c0",1,2,2,2,2,2,2,2,2
"23b70f075e54479b95938797c69e4fc0",1,2,2,2,2,2,2,2,2
"2415bfb664dd47aa87a7abb041406378",2,2,2,2,2,2,2,2,2
"2429ea144b6f4c41b194a3e6237278ac",1,2,2,2,2,2,2,2,2
"242b689ce8ac46a8ad1ac1b4d235ba50",1,2,2,2,2,2,2,2,2
"243f527c062042cda6f6f303038f8dac",1,2,2,2,2,2,2,2,2
"2457c1a0b4fa4876ae3f85c8b2a31dbc",1,2,2,2,2,2,2,2,2
"246c247a85b54d91bc96fbf0eff7e646",1,2,2,2,2,2,2,2,2
"24986699bf914802aa52cc82ae3f08ed",2,2,2,2,2,2,2,2,2
"249c428c330a48f2a07de4ea7142aed5",1,2,2,2,2,2,2,2,2
"24a4a03559fd4791a2128a52f24e0435",1,2,2,2,2,2,2,2,2
"24a52c69750d44b3a62ff9affcb233b1",1,2,2,2,2,2,2,2,2
"2518fc022fa74be6b43585e877e4accf",1,2,2,2,2,2,2,2,2
"25723a685ea44c71818d35eca6ec3d87",1,2,2,2,2,2,2,2,2
"25bca54a351240c7900a48203fade4b4",2,2,2,2,2,2,2,2,2
"25d8fe84cc5f4da8ad14c7edb29a9ba6",1,2,2,2,2,2,2,2,2
"2628668b68a743a887d2ac87bc06bd7f",1,2,2,2,2,2,2,2,2
"26336aadad9e4c54a2988382eb410df0",1,2,2,2,2,2,2,2,2
"26372ce413f748b98a3b3d1b1ee64608",4,2,2,2,2,2,2,2,2
"2645b471d6ef469aae958aff6ace5e8e",1,2,2,2,2,2,2,2,2
"265c4799c1da4a2395c2fc4729c8ef36",1,2,2,2,2,2,2,2,2
"2685d3b1b9234db18251e00d64a692ad",2,1,2,2,2,2,2,2,2
"269057df6c874f1da1b7d05fd9c2907c",1,2,2,2,2,2,2,2,2
"26a74b4ae08b47dd8bb32c4f2017a928",2,2,2,2,2,2,2,2,2
"26c6c03b42fb410fb8196891d615f3f6",1,2,2,2,2,2,2,2,2
"27152e297a8c4597b78ec2bb9ee0c49d",1,2,2,2,2,2,2,2,2
"2793689c81fe4a66a7cfe86d1b3150f9",2,2,2,2,2,2,2,2,2
"27a3f77de23c471d9b1e72f05e244cec",4,2,2,2,2,2,2,2,2
"27b502370a394aa0ae44daede183990c",5,2,2,2,2,2,2,2,2
"282cd74076c2438f921c0ccf6160fdfe",2,2,2,2,2,2,2,2,2
