"HHID","district_code","urban","region","regurb","rotate","HHID_old","equiv","hsize","nrrexp30","cpexp30","welfare","plinen","ctpline","hpline","spline","poor_13"
"H00313-04-01","102",1,1,11,1,1021000213,5.02463328838348,6,3794058,1451948.125,288966,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00606-04-01","102",1,1,11,1,1021000506,2.5917666554451,3,1454428,591880.75,228369.609375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00704-04-01","102",1,1,11,1,1021000604,5.0373666882515,6,959045.9375,393372.9375,78090.984375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00707-04-01","102",1,1,11,1,1021000607,6.62686663866043,7,1636161.5,658982.125,99440.984375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00710-04-01","102",1,1,11,1,1021000610,5.39089995622635,6,583515.6875,237789.140625,44109.359375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00712-04-01","102",1,1,11,1,1021000612,3.60559993982315,4,2273297.75,925950.625,256809.03125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00801-04-01","102",1,1,11,1,1021000701,4.62443327903748,6,2102113,827479,178936.296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00802-04-01","102",1,1,11,1,1021000702,3.51029992103577,4,647632.5,256651.53125,73113.84375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00803-04-01","102",1,1,11,1,1021000703,4.65286660194397,6,1355140.125,532820.0625,114514.3671875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00805-04-01","102",1,1,11,1,1021000705,2.7491666674614,4,314396,123406.0078125,44888.515625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00809-04-01","102",1,1,11,1,1021000709,5.91609996557236,9,2232676,899947.875,152118.4375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00810-04-02","102",1,1,11,1,,10.1781665682793,14,3460283.25,1366947.375,134301.921875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00810-04-03","102",1,1,11,1,,1.87916666269302,2,1132370.375,445120.03125,236870.96875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00811-04-01","102",1,1,11,1,1021000711,4.14659994840622,5,1040927.125,409771.78125,98821.1484375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01209-04-01","102",1,1,11,1,1021001109,7.11266666650772,8,1551203.5,635377.8125,89330.4609375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01209-04-02","102",1,1,11,1,102100110901,2.87249997258186,4,469198.34375,191995.875,66839.296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01209-04-03","102",1,1,11,1,102100110903,3.70989993214607,5,1593249,651445.9375,175596.640625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01210-04-01","102",1,1,11,1,1021001110,3.83520001173019,5,894418.3125,364302.40625,94989.15625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01401-04-01","102",1,1,11,1,1021001301,2.87143331766129,3,2177381.25,863776.75,300817.28125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01402-04-01","102",1,1,11,1,1021001302,3.61719995737076,4,1016398,400085.03125,110606.28125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01406-04-01","102",1,1,11,1,1021001306,5.05909997224808,6,997214.375,395582.84375,78192.3359375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01409-04-01","102",1,1,11,1,1021001309,0.773800015449524,1,430056.4375,168781.953125,218120.890625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01601-04-01","102",1,1,11,1,1021001501,1.86659997701645,3,593245.0625,237770.421875,127381.5625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01604-04-01","102",1,1,11,1,1021001504,0.86273330450058,1,3151079,1269626.25,1471632.375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01605-04-01","102",1,1,11,1,1021001505,5.70226657390594,6,2751733.75,1114394.125,195430.03125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01607-04-01","102",1,1,11,1,1021001507,8.02936661243439,10,614282.75,248852.65625,30992.8125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,1
"H01612-04-01","102",1,1,11,1,1021001512,3.3996666520834,5,622340.1875,252106.1875,74156.1484375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01801-04-01","102",1,1,11,1,1021001701,5.05733335018158,6,1037529.125,425125.875,84061.2734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01806-04-01","102",1,1,11,1,1021001706,3.18950000405312,5,608754,249324.78125,78170.4921875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01806-04-02","105",0,1,10,1,2102100170601,2.97993330657482,5,554277.5,221946.1875,74480.25,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H01809-04-01","102",1,1,11,1,1021001709,5.45033329725266,7,1329578.75,547667.625,100483.328125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H01813-04-01","102",1,1,11,1,1021001713,4.48573333024979,5,1669329,682170.3125,152075.53125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02108-04-01","102",1,1,11,1,1021002008,1.87283334136009,3,521965.5625,207643.875,110871.515625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02110-04-01","102",1,1,11,1,1021002010,3.29076659679413,4,1211114.25,485224.8125,147450.390625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02111-04-01","102",1,1,11,1,1021002011,8.79026663303375,11,1369369.375,532953.8125,60629.9921875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02113-04-01","102",1,1,11,1,1021002013,4.68786668777466,6,703689.9375,279869.375,59700.796875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02203-04-01","102",1,1,11,1,1021002103,5.10829997062683,6,1025777.375,419111.875,82045.2734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02205-04-01","102",1,1,11,1,1021002105,3.72256660461426,4,4904736,1984774.25,533173.625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02206-04-01","102",1,1,11,1,1021002106,3.84993335604668,5,1062533.25,432577.8125,112359.8203125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02207-04-01","102",1,1,11,1,1021002107,2.48929995298386,3,1572588.625,643685.0625,258580.75,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02304-04-01","113",0,1,10,1,1021002204,1.86659997701645,2,605293.4375,244616.453125,131049.2109375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H02305-04-01","102",1,1,11,1,1021002205,3.26413333415985,4,920113.3125,371821.375,113911.2109375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02310-04-01","102",1,1,11,1,1021002210,3.25349998474121,4,916980.4375,371263.65625,114112.078125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02401-04-01","113",0,1,10,1,1021002301,0.992266654968262,1,471593.25,191897.765625,193393.34375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H02407-04-01","102",1,1,11,1,1021002307,0.992266654968262,1,333021.71875,135461,136516.734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02409-04-01","102",1,1,11,1,1021002309,0.863699972629547,1,255120.78125,103789.109375,120168.015625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02412-04-01","102",1,1,11,1,1021002312,4.98343330621719,7,750608.75,306007.03125,61404.86328125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02507-04-01","102",1,1,11,1,1021002407,4.40843334794044,6,1726330.75,707149.75,160408.40625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02601-04-01","102",1,1,11,1,1021002501,1.00483334064484,1,944409.25,371659.65625,369871.9375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02601-04-02","102",1,1,11,1,2102100250103,4.98463326692581,6,1237540,475635.1875,95420.296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02602-04-01","102",1,1,11,1,1021002502,9.34086662530899,11,1546143.875,611874.1875,65505.078125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02608-04-01","102",1,1,11,1,1021002508,3.1170666217804,4,554530.4375,218064.421875,69958.21875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02608-04-02","102",1,1,11,1,,2.11249999701977,3,1928796.75,772463.125,365663.03125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02609-04-01","102",1,1,11,1,1021002509,1.86659997701645,2,326613.5,128292.7265625,68730.703125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02703-04-02","102",1,1,11,1,102100260304,3.21509999036789,4,839443.625,332903.90625,103543.875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02705-04-01","102",1,1,11,1,1021002605,2.83179998397827,3,1109784,440251.84375,155467.140625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02705-04-02","113",1,1,11,1,,1.00483334064484,1,241005.671875,98859.8046875,98384.28125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02706-04-01","102",1,1,11,1,1021002606,2.25916665792465,3,634802.4375,249558.21875,110464.7265625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02710-04-01","102",1,1,11,1,1021002610,5.07223331928253,7,817058.9375,321442.1875,63372.91015625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02711-04-01","102",1,1,11,1,1021002611,0.86273330450058,1,346348.65625,136259.28125,157939.046875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02711-04-02","102",1,1,11,1,,2.00966668128967,2,787327,316696.9375,157586.796875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02711-04-03","113",1,1,11,1,,4.36759999394417,6,2224315,888657.625,203465.890625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02802-04-01","102",1,1,11,1,1021002702,6.65393334627151,7,2584779.25,1053238.875,158288.15625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02803-04-01","102",1,1,11,1,1021002703,2.99509996175766,4,680169.125,279074.8125,93177.125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H02811-04-01","102",1,1,11,1,1021002711,2.47969996929169,3,857289.125,352551.6875,142175.140625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03001-04-01","113",0,1,10,1,1021002901,4.22326663136482,6,843179.0625,344420.6875,81553.1484375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
