"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"12ea98f53d374c2ab9476c087af2913e",331,0,3,30,10,3.77509993314743,5,6,925589.8125,0,509384.3125,0,134932.671875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,,,,
"12f05714af1d40f3967c2f10c55f21e4",307,1,3,31,9,4.28100001811981,6,6,866897.125,20497.978515625,492430.125,10955.626953125,115026.890625,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,4,8,3,5
"1313728d816c492e852a4dc2f2bea58c",319,0,3,30,11,3.64293330907822,4,4,184514.515625,0,101000.3671875,0,27725.01171875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,1
"131fdb31a30649e792542baee928cee3",412,0,4,40,15,3.49599999189377,5,7,314061,0,172893.34375,0,49454.6171875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,4,2,2
"132b1d61a34e4480a249784896828820",415,0,4,40,13,4.35843330621719,6,6,334745,0,185059.078125,0,42460,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,3,2,1
"1335c4b914e64b079a15b82332bc3a62",204,0,2,20,4,2.4941999912262,3,5,517362.34375,0,300830.34375,0,120611.9609375,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,4,8,5,5
"137047ed72be45cbbe79528e9a8febcf",122,0,1,10,2,1.47369998693466,2,2,105093.7109375,0,58844.2421875,0,39929.59375,11463.4453125,15946.951171875,30611.45703125,42584.00390625,1,2,3,2,1
"137fab734a03455f98d0124f4847fc13",212,0,2,20,5,6.74956661462784,8,8,1065434,0,603701.3125,0,89442.9765625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,4,7,4,4
"1390e21908ee4f50811be182bc761552",407,0,4,40,12,4.45066666603088,6,6,518693.3125,0,290823.0625,0,65343.70703125,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,3,5,3,3
"139766f7e0d947e39160c8cdbe782c90",412,0,4,40,15,1.73223328590393,2,5,1082102.875,0,641860.1875,0,370539.125,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,5,10,5,5
"13c8dabea0a14e74b5409df736d0c6fc",219,0,2,20,7,2.63353329896927,3,4,286307.375,0,162960.15625,0,61878.90625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,3,5,3,3
"13d977f195b645efb9ca44fc286a7787",303,1,3,31,11,1.72283333539963,2,2,2559036.25,172183.015625,1475181.75,91978.109375,856253.3125,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,5,10,5,5
"13e1b70c74264df2b3ce9571a64d04b7",318,0,3,30,8,3.04993329942226,5,5,159568.09375,0,85915.2265625,0,28169.54296875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,2
"13e8276c99cd496081c2d78d058b2a21",219,0,2,20,7,6.92353332042694,8,8,582492.1875,0,332419.25,0,48012.94921875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,2,4,2,3
"13f725a28a91400690aa319519c0dbf6",327,0,3,30,8,2.13083332777023,3,3,75380.625,0,42170.97265625,0,19790.8359375,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,,,,
"141911dad9474c8d879f53c8bfd6edee",417,0,4,40,14,3.99273329973221,5,5,403068.21875,0,221454.75,0,55464.44921875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,4,3,2
"142452c4f1204a22b394324cb0f4bab9",203,1,2,21,4,4.9227666258812,6,7,777628.5625,0,447963.71875,0,90998.3671875,11463.4453125,16547.525390625,30611.45703125,44187.7421875,0,4,7,3,4
"14284880612f4308abfe7ad7f51cdcf8",307,0,3,30,9,6.88420003652573,9,9,436375.71875,0,245459.1875,0,35655.44140625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,2,1,2
"142f863d5d3747d4b12da5a96819e8c8",104,1,1,11,3,0.992266654968262,1,1,333619.8125,155853.328125,192281.078125,83702.109375,193779.640625,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,10,5,5
"1444adc6326d439eaeaba1546d02d59d",205,0,2,20,4,4.80993330478668,7,7,238595.25,0,132029.328125,0,27449.3046875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,1,1,1,1,1
"147c52ca54784111b65348d2fc3eed37",216,0,2,20,7,1.6365333199501,2,2,404464.25,0,227522.265625,0,139026.96875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,5,9,5,5
