"interview__key","EA_code","programme_id","s11q03"
"37-68-69-42","305b636544344f65aabef33609978907",4,1
"37-68-69-42","305b636544344f65aabef33609978907",3,2
"37-68-69-42","305b636544344f65aabef33609978907",1,1
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",3,1
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",5,2
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",2,1
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",4,1
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",1,1
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",3,1
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",5,2
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",2,1
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",1,1
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",4,1
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",1,1
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",3,1
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",4,1
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",2,1
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",5,2
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",4,1
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",3,1
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",5,2
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",1,1
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",2,1
"66-53-93-59","37a0243153154356a3fae9c57c688f46",3,1
"66-53-93-59","37a0243153154356a3fae9c57c688f46",4,2
"66-53-93-59","37a0243153154356a3fae9c57c688f46",5,2
"66-53-93-59","37a0243153154356a3fae9c57c688f46",1,2
"66-53-93-59","37a0243153154356a3fae9c57c688f46",2,1
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",1,1
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",5,1
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",2,1
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",3,1
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",4,1
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",1,1
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",4,1
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",3,1
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",2,1
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",5,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",1,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",5,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",2,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",4,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",3,1
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",1,1
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",5,2
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",4,1
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",2,1
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",3,1
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",3,1
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",5,2
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",2,1
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",4,1
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",1,1
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",5,2
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",3,1
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",4,1
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",2,1
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",1,1
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",3,2
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",1,2
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",4,2
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",2,1
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",5,2
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",3,1
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",1,1
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",4,1
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",2,1
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",5,1
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",2,1
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",3,1
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",5,1
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",1,1
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",4,1
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",5,1
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",2,1
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",3,1
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",1,1
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",4,1
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",5,2
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",1,2
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",4,2
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",3,2
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",2,1
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",4,1
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",5,2
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",1,1
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",3,1
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",2,2
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",3,1
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",1,1
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",2,1
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",4,2
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",5,2
"67-26-59-19","48bea11db2944c909fda02151c5118af",2,1
"67-26-59-19","48bea11db2944c909fda02151c5118af",1,1
"67-26-59-19","48bea11db2944c909fda02151c5118af",4,1
"67-26-59-19","48bea11db2944c909fda02151c5118af",3,2
"67-26-59-19","48bea11db2944c909fda02151c5118af",5,2
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",1,1
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",3,2
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",5,1
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",4,1
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",2,1
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",3,1
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",4,1
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",1,1
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",2,2
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",5,1
"85-31-22-31","4ba54fb88a534722877835b1045a512d",5,1
"85-31-22-31","4ba54fb88a534722877835b1045a512d",1,2
"85-31-22-31","4ba54fb88a534722877835b1045a512d",4,2
"85-31-22-31","4ba54fb88a534722877835b1045a512d",3,2
"85-31-22-31","4ba54fb88a534722877835b1045a512d",2,2
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",4,1
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",5,1
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",1,1
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",3,1
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",2,1
"74-16-21-77","4cf59369cdf24583a27873140b200861",4,1
"74-16-21-77","4cf59369cdf24583a27873140b200861",5,1
"74-16-21-77","4cf59369cdf24583a27873140b200861",2,1
"74-16-21-77","4cf59369cdf24583a27873140b200861",3,1
"74-16-21-77","4cf59369cdf24583a27873140b200861",1,1
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",1,1
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",5,2
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",2,1
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",4,2
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",3,2
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",4,1
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",5,1
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",2,1
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",1,1
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",3,1
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",4,1
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",5,1
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",2,1
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",1,1
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",3,1
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",2,1
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",1,1
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",3,2
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",5,1
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",4,2
"83-55-75-67","50915c4977d44997a241f9e364f0a753",2,1
"83-55-75-67","50915c4977d44997a241f9e364f0a753",5,1
"83-55-75-67","50915c4977d44997a241f9e364f0a753",3,1
"83-55-75-67","50915c4977d44997a241f9e364f0a753",4,1
"83-55-75-67","50915c4977d44997a241f9e364f0a753",1,2
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",4,1
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",1,1
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",5,2
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",3,1
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",2,2
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",2,2
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",1,1
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",3,2
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",4,2
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",5,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",2,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",3,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",4,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",1,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",5,1
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",3,2
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",4,2
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",2,1
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",5,2
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",1,1
"03-45-89-44","56c850451863421290489c656c6356a1",1,1
"03-45-89-44","56c850451863421290489c656c6356a1",4,2
"03-45-89-44","56c850451863421290489c656c6356a1",5,2
"03-45-89-44","56c850451863421290489c656c6356a1",2,1
"03-45-89-44","56c850451863421290489c656c6356a1",3,1
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",3,1
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",5,1
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",4,1
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",1,1
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",2,1
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",3,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",1,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",4,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",2,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",5,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",3,2
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",2,1
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",1,2
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",5,2
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",4,2
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",1,1
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",2,1
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",5,1
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",3,2
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",4,1
