"EA_code","t0_EA_code","interview__key","s2cq15","s2cq16","s2cq17","s2cq17_oth","s2cq18","s2cq20","s2cq20_oth","s2cq19a","s2cq19b","s2cq19c","s2cq19c_oth","s2cq21","s2cq22","s2cq25","s2cq25_oth"
"40d1c6c197a14e6eadf31dfcc95a200b","4032010105","03-52-46-70",2,2,,,2,,,,,,,,,,
"49ac26b03a504025bc11014fb9fd07f0","1031070701","65-53-81-18",3,2,,,2,,,,,,,,,1,
"48bea11db2944c909fda02151c5118af","2191030304","67-26-59-19",2,2,,,2,,,,,,,,,1,
"4cdaf79caf624178b5eadc9be94a36aa","3141030304","35-28-58-28",1,2,,,1,2,,,,,,"1000",1,7,
"4a1d00f074cc4b00918c46c988ddbe64",,"45-42-36-18",,,,,,,,,,,,,,,
"4cf59369cdf24583a27873140b200861","1122040401","74-16-21-77",2,2,,,2,,,,,,,,,1,
"4d5ac1450c634c6ca704f0e8848cc443","1012040404","91-91-63-66",2,2,,,2,,,,,,,,,7,
"4ece7adab00c4cf2bef7f7a13841c000","2071040404","85-33-44-23",2,2,,,1,2,,,,,,"1000",1,5,
"4fead528c43a425c8ead7ad9e02285fe","2221111101","36-09-12-99",2,2,,,2,,,,,,,,,2,
"4dd6d629e3ae4f8d89147cbaf0a79f8f","2231282802","00-95-07-36",1,2,,,2,,,,,,,,,,
"50915c4977d44997a241f9e364f0a753",,"83-55-75-67",4,2,,,2,,,,,,,,,3,
"511e248a967448a89f871d73acff14a4","4151141403","80-32-55-46",2,2,,,2,,,,,,,,,,
"54c10aa0c5a84733aa4d36847a5906e3","3071080801","72-32-17-28",3,1,2,,1,2,,,,,,"3000",1,1,
"4ecbd2e7063b4921af2e0b7e0a8db0ce","3271030305","98-74-07-23",2,2,,,1,2,,,,,,"5000",1,1,
"53fd71c2301f43f8873de4f1f0eace0c","3032010105","71-61-98-83",2,2,,,2,,,,,,,,,4,
"56ad9167bff0445f93a7fbaced2e3152","1102060609","02-73-44-22",2,2,,,2,,,,,,,,,1,
"54405a9ba99d4e618e87548191c47c14","4041020202","32-71-89-73",2,2,,,2,,,,,,,,,,
"56c850451863421290489c656c6356a1","4044030303","03-45-89-44",2,2,,,2,,,,,,,,,4,
"56d5e1c386f34ef68f31280d6a7d8f46","1173010111","41-24-08-74",2,2,,,1,1,,"100","1",2,,"9000",1,1,
"5781bbe35d9c4d5fa1246f3d26a59a0b","3211030305","77-44-13-92",,,,,,,,,,,,,,,
"588cfcfc790240e98d9ca22db6683fd8","1241010103","81-59-88-07",,,,,,,,,,,,,,,
"5b1bfa5bef2c4d529bd9d6297a3e11ec","2261020208","20-39-84-46",2,2,,,1,2,,,,,,"5000",1,1,
"5ec0701dd9f54f1bbe921ca9175a60d9","1112020218","56-80-19-40",2,2,,,2,,,,,,,,,,
"5d98309983cf4e319ba077b1e10020fc","3221111112","22-55-33-62",3,2,,,1,2,,,,,,"1000",1,,
"5f9ac4ea0e654d08b3cd6ed453de3ff1","1021040402","07-07-36-19",3,2,,,2,,,,,,,,,5,
"5fe1acda95ad4556b6a0983a641d479a","4182020204","84-67-15-95",2,2,,,2,,,,,,,,,,
"5df1b3d3aa7d4cb3b184c8ab9edf7506","3151050502","52-64-64-81",3,2,,,1,2,,,,,,"2000",1,,
"5feb56a602554863982002d7dffa96e9","3291060606","94-06-39-74",1,2,,,1,2,,,,,,"1000",1,4,
"606dfeb842fa4339b5772cb092c00c26","3103060608","01-46-09-86",2,2,,,1,2,,,,,,"1000",1,,
"61187e593ce849f6b0b6f20972734150","2211090905","67-70-56-85",2,2,,,2,,,,,,,,,,
"627c07fe24fc470f9300d75233c4b4ee","2123111101","58-19-91-16",2,2,,,2,,,,,,,,,,
"62c15549e2894eee9032940da84f6170","331BIBI010104","56-99-39-47",3,2,,,1,2,,,,,,"1000",1,1,
