"EA_code","t0_EA_code","interview__key","trip_num","s1b_visit","s1bq2a","s1bq2b","s1bq2d","s1bq2e","s1bq2c","s1bq3a","s1bq3b","s1bq3a_v2","s1bq3b_v2","s1bq3d","s1bq3e","s1bq3c","s1bq4a","s1bq4b","s1bq4a_v2","s1bq4b_v2","s1bq4d","s1bq4e","s1bq4c","s1bq5a","s1bq5b","s1bq5d","s1bq5e","s1bq5c","s1bq6a","s1bq6b","s1bq6d","s1bq6e","s1bq6c"
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",1,3,"2018-06-27","2018-06-27T08:16:25",1,1,"2018-06-27T08:58:15","2018-06-26","2018-06-26T09:15:09",,,1,3,"2018-06-26T09:59:55","2018-06-26","2018-06-26T03:31:58","2018-12-15","2018-12-15T02:36:51",1,1,"2018-06-26T05:10:45","2018-06-26","2018-06-26T05:10:58",1,1,"2018-06-26T06:22:15","2018-06-27","2018-06-27T08:59:35",1,1,"2018-06-27T09:09:39"
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",1,3,"2019-02-12","2019-02-12T09:25:07",1,1,"2019-02-12T09:58:50","2019-02-12","2019-02-12T10:12:30","2019-02-12","2019-02-12T10:12:39",1,3,"2019-02-12T11:15:59","2019-02-13","2019-02-13T06:25:22","2019-02-13","2018-11-09T05:07:51",1,1,"2019-02-13T07:12:38",,,,3,,"2019-02-12","2019-02-12T09:59:00",1,,"2019-02-12T10:10:42"
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",1,3,"2019-01-17","2019-01-17T07:50:09",1,1,"2019-01-17T08:30:04","2019-01-17","2019-01-17T09:48:21","2019-01-17",,1,3,"2019-01-17T10:34:09","2019-01-17","2019-01-17T06:01:52","2019-01-17","2019-01-17T06:02:18",1,1,"2019-01-17T06:47:52","2019-01-17",,3,,,"2019-01-17","2019-01-17T08:30:15",1,1,"2019-01-17T09:11:21"
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",1,3,"2018-03-11","2018-03-11T04:23:14",1,1,"2018-03-11T05:49:12","2018-03-12","2018-03-12T01:44:36","2018-08-29","2018-08-29T07:42:35",1,3,"2018-03-12T04:28:50","2018-03-12","2018-03-12T04:41:14","2019-01-18","2019-01-18T07:39:54",2,1,"2018-03-12T06:38:22","2018-03-12","2018-08-29T07:54:05",1,1,"2018-08-29T08:43:08","2018-03-11","2018-03-11T05:49:27",1,1,"2018-03-11T09:05:03"
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",1,3,"2018-12-02","2018-12-02T00:21:49",1,1,"2018-12-02T01:14:45","2018-06-01","2018-06-01T05:55:52",,,1,3,"2018-06-01T06:27:59","2018-06-02","2018-06-02T03:48:23","2018-12-02",,1,3,"2018-12-02T01:33:50",,,,,,"2018-12-02","2018-12-02T01:14:54",1,1,"2018-12-02T01:32:40"
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",1,3,"2018-05-07","2018-05-07T05:56:58",1,1,"2018-05-07T06:33:37","2018-05-07","2018-05-07T03:18:10","2018-11-13","2018-11-13T01:56:17",1,2,"2018-11-13T03:04:23","2018-05-08","2018-05-08T03:00:23","2018-11-13","2018-11-13T03:27:45",1,2,"2018-11-13T04:46:09","2018-05-08","2018-05-08T02:21:32",1,1,"2018-05-08T02:50:13","2018-05-07","2018-05-07T06:34:56",1,1,"2018-05-07T07:00:25"
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",1,1,,,,,,"2018-03-22","2018-03-22T03:23:47",,,1,,"2018-03-22T04:40:01","2018-03-22","2018-03-22T04:45:47",,,1,,"2018-03-22T05:07:06",,,,,,,,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",1,3,"2018-05-12","2018-05-12T08:39:13",1,1,"2018-05-12T09:18:15","2018-11-20","2018-11-20T03:58:59","2018-11-20","2018-11-20T03:59:02",1,1,"2018-11-20T05:00:31","2018-05-11","2018-05-11T15:09:40","2019-01-22","2019-01-22T03:02:11",1,1,"2019-01-22T03:53:52","2019-01-22","2019-01-22T04:52:49",1,1,"2019-01-22T05:51:11","2018-05-12","2018-05-12T09:18:30",1,1,"2018-05-12T09:54:54"
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",1,3,"2018-11-12","2018-11-12T05:47:20",1,1,"2018-11-12T06:11:33","2018-11-12","2018-11-12T03:29:00","2018-11-12","2018-11-12T03:29:08",1,1,"2018-11-12T04:04:26","2018-11-12","2018-11-12T02:09:59","2018-11-12","2018-11-12T02:13:45",1,1,"2018-11-12T03:04:14",,,,,,"2018-11-12","2018-11-12T06:11:45",1,1,"2018-11-12T06:23:56"
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",1,1,"2018-05-03","2018-05-03T09:16:25",1,,"2018-05-03T09:57:26","2018-04-30","2018-04-30T16:16:22",,,1,,"2018-04-30T17:25:44","2018-04-30","2018-04-30T13:42:32",,,1,,"2018-04-30T15:40:06",,,,,,"2018-05-03","2018-05-03T10:13:11",1,,"2018-05-03T10:13:43"
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",1,3,"2018-03-11","2018-03-11T06:09:37",1,,"2018-03-11T06:51:07","2018-03-12","2018-03-12T03:48:21",,,1,,"2018-03-12T05:03:42","2018-03-12","2018-03-12T05:59:32",,,1,,"2018-03-12T06:54:54",,,,,,"2018-03-11","2018-03-11T06:51:33",1,,"2018-03-11T07:25:15"
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",1,3,"2018-09-05","2018-09-05T06:56:55",1,,"2018-09-05T07:42:05","2018-03-19","2018-03-19T06:53:53",,,1,,"2018-03-19T07:13:39","2018-03-19","2018-03-19T04:33:04","2018-09-06","2018-09-06T08:45:20",1,1,"2018-03-19T06:44:49",,,,,,"2018-09-05","2018-09-05T07:42:16",1,,"2018-09-05T07:46:39"
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",1,3,"2018-06-12","2018-06-12T03:46:57",1,1,"2018-06-12T04:40:17","2018-06-11","2018-12-16T08:04:33","2018-12-16",,2,3,"2018-06-11T05:50:10","2018-06-11","2018-12-16T08:03:03","2018-12-16","2018-12-16T07:12:35",1,1,"2018-12-20T04:48:58","2018-06-11","2018-06-11T07:30:41",1,1,"2018-06-11T09:35:32","2018-06-12","2018-06-12T05:03:39",1,1,"2018-06-12T05:45:06"
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",1,3,"2019-01-20","2019-01-20T03:13:20",1,1,"2019-01-20T04:33:46",,,,,3,3,,"2019-01-20","2019-01-20T06:36:45","2019-01-20","2019-01-20T06:37:28",1,1,"2019-01-20T07:01:34","2019-01-20","2019-01-20T02:03:18",1,1,"2019-01-20T02:56:03","2019-01-20","2019-01-20T04:33:57",1,1,"2019-01-20T07:15:58"
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",1,3,"2018-03-17","2018-03-17T03:58:00",1,1,"2018-03-17T05:17:36","2018-03-15","2018-03-15T04:31:10","2018-09-01","2018-09-01T02:02:03",1,3,"2018-03-15T07:09:17","2018-03-15","2018-03-15T07:24:09","2018-09-01","2018-09-01T07:27:41",1,3,"2018-03-15T09:06:05","2018-03-15","2018-03-15T03:34:34",1,,"2018-03-15T04:36:06","2018-03-17","2018-03-17T05:17:54",1,1,"2018-03-17T11:41:06"
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",1,3,"2018-03-11","2018-03-11T06:44:30",1,,"2018-03-11T07:22:34","2018-03-12","2018-03-12T02:52:42",,,1,3,"2018-03-12T04:50:36","2018-03-10","2018-03-10T02:28:28","2018-09-03","2018-09-03T02:25:10",1,1,"2018-09-03T02:52:37","2018-03-12","2018-03-12T05:32:10",1,,"2018-03-12T06:18:58","2018-03-11","2018-03-11T07:23:15",1,,"2018-03-11T08:10:28"
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",1,3,"2018-03-19","2018-03-19T06:57:57",1,,"2018-03-19T08:15:00","2018-03-19","2018-03-19T03:57:26",,,1,3,"2018-03-19T05:54:13","2018-03-20","2018-03-20T05:50:25","2018-09-04","2018-09-04T06:51:32",1,1,"2018-09-04T07:04:56","2018-03-20","2018-03-20T05:11:33",1,,"2018-03-20T05:31:14","2018-03-19","2018-03-19T09:49:21",1,,"2018-03-19T10:03:28"
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",1,3,"2018-08-06","2018-08-06T05:44:29",1,1,"2018-08-08T04:13:58","2018-08-06","2018-08-06T04:16:36",,,1,3,"2018-08-06T05:17:23","2018-08-04","2019-01-21T03:41:42","2019-01-21","2019-01-21T03:28:35",1,1,"2019-01-21T04:35:02","2019-01-21","2019-01-21T02:21:04",3,1,"2019-01-21T02:59:45","2018-08-06","2018-08-06T06:24:06",1,1,"2018-08-08T03:40:12"
"2ce29c6cfe0a456793b78a9eea712769","1151030304","67-79-02-00",1,3,"2018-03-25","2018-03-25T03:52:46",1,,"2018-03-25T04:41:19","2018-05-31","2018-05-31T05:00:44","2018-10-04","2018-10-04T04:47:04",1,1,"2018-10-04T05:28:07","2018-05-31","2018-05-31T08:31:15","2018-10-04","2018-10-04T06:12:33",1,1,"2018-10-04T06:55:02","2018-05-31","2018-05-31T06:21:20",1,,"2018-05-31T06:59:14","2018-03-25","2018-03-25T04:41:51",1,,"2018-03-25T05:25:00"
"2f452dce46214291b99d8f76038d10c9","2251030306","49-53-35-89",1,3,"2018-05-31","2018-05-31T08:20:20",1,,"2018-05-31T08:59:19","2018-05-31","2018-05-31T04:43:41",,,1,,"2018-05-31T05:47:48","2018-05-11","2018-05-11T03:42:28","2018-11-28","2018-11-28T04:47:10",1,1,"2018-05-11T05:08:07",,,,,,"2018-05-31","2018-05-31T07:50:24",1,,"2018-05-31T08:12:08"
"2d0189f201a24a6eb390e7644e7127ac","3192030304","44-82-68-29",1,3,"2018-03-22","2018-03-22T10:25:13",1,,"2018-03-22T11:00:15","2018-03-21","2018-03-21T01:45:00","2018-10-12","2018-10-12T02:46:13",1,1,"2018-10-12T03:52:25",,,,,3,3,,,,3,,,"2018-03-22","2018-03-22T11:00:38",1,,"2018-03-22T11:15:11"
"2f82e41b4d9140b1a887dffbd36193b8",,"88-51-03-21",9,3,"2019-01-16","2019-01-16T02:51:27",1,1,"2019-01-16T04:39:34",,,,,,,,,,,,,,,,,,,,"2019-01-16","2019-01-16T04:46:25",1,1,"2019-01-16T05:59:48"
