"interview__key","EA_code","class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66","s3q53_v2","s3q54_v2","s3q55a_v2","s3q55b_v2","s3q56_v2","s3q57_v2","s3q58_v2","s3q59_v2","s3q60_v2","s3q60_oth_v2","s3q61_v2","s3q61_oth_v2","s3q62_v2","s3q63_v2","s3q64_v2","s3q65_v2","s3q66_v2"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",6,1,2,30,17,1,3,1,,,,1,17,1,1,1,,,36,25,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,2,2,82,54,1,2,1,,,,1,29,1,1,1,,,69,59,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",5,1,1,21,29,1,3,1,,,,1,38,1,1,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,2,2,35,24,2,1,1,,,,1,50,1,2,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",4,1,1,30,24,1,2,1,,,,1,46,1,1,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",6,1,2,15,26,1,3,1,,,,1,41,1,1,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",3,2,2,30,14,1,1,1,,,,1,40,1,1,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",0,2,2,81,68,2,1,1,,,,1,130,1,2,1,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",2,2,2,30,27,1,1,1,,,,1,45,2,2,1,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",0,2,2,98,86,2,4,1,,,,1,155,5,1,1,2,2,98,87,2,2,1,,,,,,1,121,5,4,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",6,1,2,24,27,1,3,1,,,,1,33,1,1,1,1,2,16,22,1,2,1,,,,,,1,36,1,1,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,1,2,79,137,2,4,1,,,,1,134,5,1,1,1,2,80,137,2,2,1,,,,,,1,132,5,3,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",5,1,2,38,37,1,4,1,,,,1,53,1,1,1,1,2,55,54,1,1,1,,,,,,1,53,2,1,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",3,1,2,82,85,2,4,1,,,,1,140,4,1,2,1,2,93,100,2,3,1,,,,,,1,130,2,2,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,1,2,74,66,2,4,1,,,,1,108,5,1,2,2,2,68,83,2,1,1,,,,,,1,113,5,2,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",4,1,2,59,71,2,4,1,,,,1,122,4,1,1,1,2,60,100,1,4,1,,,,,,1,111,2,1,1
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",4,1,2,51,50,1,4,1,,,,1,61,1,1,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",3,1,2,98,94,1,1,1,,,,1,140,2,1,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",0,1,2,65,60,2,1,1,,,,1,77,5,4,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",2,1,1,111,60,2,1,1,,,,1,97,1,1,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",6,2,2,20,18,1,1,1,,,,1,35,1,1,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",5,1,2,30,36,1,4,1,,,,1,61,1,1,1,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,2,2,79,75,2,1,1,,,,1,89,1,4,1,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-08-96-20","120df4dbf75444178f10871b972869ac",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",4,2,1,130,115,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",0,2,1,78,69,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,2,1,122,101,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",2,2,1,111,116,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",3,2,1,137,127,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",6,2,1,74,92,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",5,2,1,79,121,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",6,1,2,8,18,1,3,1,,,,1,18,1,1,1,1,2,5,10,2,2,1,,,,,,1,15,1,2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",0,2,2,45,88,2,4,1,,,,1,120,1,2,1,2,2,22,18,2,4,1,,,,,,1,39,1,2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",3,1,2,30,39,1,4,1,,,,1,49,1,2,1,1,2,21,20,2,4,1,,,,,,1,39,1,2,1
