"interview__key","EA_code","year_id","s3q30a","s3q30b","s3q31a","s3q31b","s3q32a","s3q32b","s3q33a","s3q33b"
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",1,32,35,1,1,11,4,5,12
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",0,,,,,,,,
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",1,,,,,,,,
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",0,,,,,,,,
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",1,,,,,,,,
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",0,7,7,0,0,2,1,0,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",1,7,15,0,0,1,3,0,5
"37-68-69-42","305b636544344f65aabef33609978907",1,43,28,1,1,19,7,7,11
"37-68-69-42","305b636544344f65aabef33609978907",0,21,16,0,0,6,0,3,5
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",0,61,63,2,1,30,29,12,17
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",1,44,61,2,1,24,26,11,13
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",1,0,0,0,0,0,0,0,0
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",0,0,0,0,0,0,0,0,0
"87-78-01-68","31b1bf8fbcc54ee09f83e940546a45b8",0,7,9,0,0,6,6,0,3
"87-78-01-68","31b1bf8fbcc54ee09f83e940546a45b8",1,20,16,0,0,2,3,4,6
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",1,28,6,1,0,13,2,7,4
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",0,16,8,0,0,11,2,5,2
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",1,19,10,0,0,5,2,3,1
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",0,32,24,0,1,9,2,11,10
"66-53-93-59","37a0243153154356a3fae9c57c688f46",1,7,15,2,3,5,10,0,1
"66-53-93-59","37a0243153154356a3fae9c57c688f46",0,9,8,1,0,8,8,0,0
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",1,,,,,,,,
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",0,,,,,,,,
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",1,,,,,,,,
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",0,21,2,0,0,16,2,3,0
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",1,,,,,,,,
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",0,58,64,4,5,39,46,7,7
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",1,62,0,3,0,45,0,11,0
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",0,45,0,3,0,35,0,6,0
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",1,16,20,0,0,10,5,4,10
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",0,14,18,0,0,8,6,6,12
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",0,2,4,0,0,0,0,1,0
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",1,6,4,0,0,1,0,4,0
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",0,140,118,9,2,83,114,23,53
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",1,151,185,15,11,78,87,29,49
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",0,45,50,2,1,20,28,10,5
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",1,40,45,5,2,15,15,8,5
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",1,,,,,,,,
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",0,,,,,,,,
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",0,16,18,0,2,14,16,1,0
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",1,24,15,6,5,18,20,0,0
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",1,43,54,4,4,30,27,7,17
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",0,57,91,2,4,29,46,15,27
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",1,24,12,0,0,3,4,6,5
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",0,25,13,0,0,8,7,4,7
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",1,26,12,0,0,3,5,8,1
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",0,,,,,,,,
"86-08-76-83","421f6dc9b1b74d31bff813bbbec0946c",0,14,20,0,0,7,8,3,6
"86-08-76-83","421f6dc9b1b74d31bff813bbbec0946c",1,17,13,1,1,4,3,8,3
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",0,,,,,,,,
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",1,,,,,,,,
"67-26-59-19","48bea11db2944c909fda02151c5118af",1,21,16,0,0,7,7,8,7
"67-26-59-19","48bea11db2944c909fda02151c5118af",0,29,27,0,0,14,12,11,15
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",0,18,12,0,0,18,5,2,1
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",1,18,13,0,0,11,7,4,3
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",1,9,18,0,0,3,2,4,6
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",0,15,18,0,0,4,2,8,8
"45-42-36-18","4a1d00f074cc4b00918c46c988ddbe64",1,,,,,,,,
"45-42-36-18","4a1d00f074cc4b00918c46c988ddbe64",0,,,,,,,,
"85-31-22-31","4ba54fb88a534722877835b1045a512d",0,26,30,0,0,18,15,5,11
"85-31-22-31","4ba54fb88a534722877835b1045a512d",1,26,35,0,0,17,20,6,9
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",1,25,26,2,0,15,17,6,4
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",0,33,17,1,0,30,14,2,3
"74-16-21-77","4cf59369cdf24583a27873140b200861",1,,,,,,,,
"74-16-21-77","4cf59369cdf24583a27873140b200861",0,,,,,,,,
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",1,,,,,,,,
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",0,,,,,,,,
"00-95-07-36","4dd6d629e3ae4f8d89147cbaf0a79f8f",0,5,10,0,0,4,4,0,5
"00-95-07-36","4dd6d629e3ae4f8d89147cbaf0a79f8f",1,18,13,2,0,4,2,6,6
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",1,31,13,1,0,10,4,8,5
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",0,36,24,0,0,16,13,12,4
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",0,9,7,0,0,4,2,6,3
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",1,12,14,0,0,2,0,6,9
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",0,,,,,,,,
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",1,,,,,,,,
"83-55-75-67","50915c4977d44997a241f9e364f0a753",0,,,,,,,,
"83-55-75-67","50915c4977d44997a241f9e364f0a753",1,,,,,,,,
"80-32-55-46","511e248a967448a89f871d73acff14a4",0,49,35,3,1,45,32,1,2
"80-32-55-46","511e248a967448a89f871d73acff14a4",1,8,23,0,0,1,9,5,9
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",1,21,8,0,0,3,1,5,1
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",0,29,7,0,0,5,0,9,0
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",1,12,20,0,1,8,8,3,6
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",0,10,27,1,2,4,21,4,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",1,17,14,1,0,5,0,8,5
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",0,18,29,0,0,6,4,3,7
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",0,22,17,2,0,16,13,4,3
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",1,14,11,2,0,12,10,0,1
"03-45-89-44","56c850451863421290489c656c6356a1",0,7,14,0,0,5,3,0,1
"03-45-89-44","56c850451863421290489c656c6356a1",1,5,11,0,0,2,4,1,3
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",1,38,47,2,4,22,24,6,10
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",0,36,20,4,0,18,15,5,3
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",0,,,,,,,,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",1,,,,,,,,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",1,,,,,,,,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",0,,,,,,,,
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",1,26,10,0,0,12,1,10,4
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",0,25,9,0,0,13,2,6,4
"52-64-64-81","5df1b3d3aa7d4cb3b184c8ab9edf7506",0,29,20,0,0,7,1,10,4
"52-64-64-81","5df1b3d3aa7d4cb3b184c8ab9edf7506",1,23,27,0,0,7,8,5,3
"56-80-19-40","5ec0701dd9f54f1bbe921ca9175a60d9",1,26,20,0,0,10,10,10,6
"56-80-19-40","5ec0701dd9f54f1bbe921ca9175a60d9",0,14,25,0,0,5,14,2,3
"07-07-36-19","5f9ac4ea0e654d08b3cd6ed453de3ff1",0,34,62,0,0,20,40,8,7
"07-07-36-19","5f9ac4ea0e654d08b3cd6ed453de3ff1",1,,,,,,,,
"84-67-15-95","5fe1acda95ad4556b6a0983a641d479a",0,15,10,3,0,10,8,1,1
"84-67-15-95","5fe1acda95ad4556b6a0983a641d479a",1,17,18,4,1,11,13,2,3
"94-06-39-74","5feb56a602554863982002d7dffa96e9",1,14,9,0,0,5,4,3,3
"94-06-39-74","5feb56a602554863982002d7dffa96e9",0,11,4,0,0,4,1,1,2
"01-46-09-86","606dfeb842fa4339b5772cb092c00c26",1,21,12,0,0,9,3,5,3
"01-46-09-86","606dfeb842fa4339b5772cb092c00c26",0,20,17,0,0,1,3,9,8
"67-70-56-85","61187e593ce849f6b0b6f20972734150",1,40,32,12,4,28,28,0,0
"67-70-56-85","61187e593ce849f6b0b6f20972734150",0,51,25,6,1,45,24,0,0
"58-19-91-16","627c07fe24fc470f9300d75233c4b4ee",0,,,,,,,,
"58-19-91-16","627c07fe24fc470f9300d75233c4b4ee",1,,,,,,,,
"56-99-39-47","62c15549e2894eee9032940da84f6170",1,0,0,0,0,0,0,0,0
"56-99-39-47","62c15549e2894eee9032940da84f6170",0,18,24,0,0,6,8,7,9
"95-66-18-46","639bf406ae23488b9674d26d841618fb",0,9,2,0,0,6,0,1,1
"95-66-18-46","639bf406ae23488b9674d26d841618fb",1,11,3,0,0,1,1,4,1
"31-52-69-96","64a7c25789dc44988120f839b628656f",0,,,,,,,,
"31-52-69-96","64a7c25789dc44988120f839b628656f",1,,,,,,,,
"18-43-14-59","6504c17bdaa94ba5b08d852aa03e266d",1,24,22,0,0,10,7,9,9
"18-43-14-59","6504c17bdaa94ba5b08d852aa03e266d",0,14,28,0,0,9,14,4,9
"16-93-07-51","67a9e20200064275ab4495b3b07aca86",0,19,11,0,0,4,3,3,3
"16-93-07-51","67a9e20200064275ab4495b3b07aca86",1,20,12,0,0,6,3,9,9
"92-26-77-38","68f903f5bf9145f88554337640a5e431",1,24,10,0,0,15,6,7,4
"92-26-77-38","68f903f5bf9145f88554337640a5e431",0,18,12,0,0,12,11,4,1
"34-91-15-19","6927081db9f440ca849fbd55ac30e9bd",1,,,,,,,,
"34-91-15-19","6927081db9f440ca849fbd55ac30e9bd",0,,,,,,,,
"65-66-38-86","6a0f936dcc7846d187bcff0b122213e5",1,,,,,,,,
"65-66-38-86","6a0f936dcc7846d187bcff0b122213e5",0,,,,,,,,
"22-09-94-20","6a3556900ab44aeb9fe37891164e8f6a",0,,,,,,,,
"22-09-94-20","6a3556900ab44aeb9fe37891164e8f6a",1,,,,,,,,
"08-74-10-74","6a981e6f28e34024b3877b143c78a411",0,,,,,,,,
"08-74-10-74","6a981e6f28e34024b3877b143c78a411",1,,,,,,,,
"00-16-89-29","6ab741446b254f54b494a75bc6c31575",0,28,28,1,0,15,8,7,7
"00-16-89-29","6ab741446b254f54b494a75bc6c31575",1,40,32,1,0,6,7,10,9
"18-73-98-72","6d88e79cdca94f44955a26a280ceaae8",0,,,,,,,,
"18-73-98-72","6d88e79cdca94f44955a26a280ceaae8",1,,,,,,,,
"61-26-83-13","6f717245375d48cbaee0ccc130704124",1,9,19,0,0,0,8,6,2
"61-26-83-13","6f717245375d48cbaee0ccc130704124",0,10,16,0,0,2,1,3,4
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",1,34,61,3,3,26,47,3,8
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",0,64,59,8,3,42,31,2,7
"94-18-00-85","70b5acb304f142b291fc6b209f67a5b3",1,,,,,,,,
"94-18-00-85","70b5acb304f142b291fc6b209f67a5b3",0,,,,,,,,
"40-73-51-73","71230c66d335494aa424d7f85a36da60",1,,,,,,,,
"40-73-51-73","71230c66d335494aa424d7f85a36da60",0,,,,,,,,
"33-62-41-35","7377cd30ca6540eabb25b4a9a3de369d",1,,,,,,,,
"33-62-41-35","7377cd30ca6540eabb25b4a9a3de369d",0,,,,,,,,
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",0,9,9,0,0,3,3,3,4
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",1,9,24,1,0,3,6,0,6
"88-41-92-59","7557b1aecd28455e9909c6d2a923a832",0,16,30,0,0,3,4,5,9
"88-41-92-59","7557b1aecd28455e9909c6d2a923a832",1,23,23,0,0,4,6,6,7
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",0,26,40,0,0,2,11,11,16
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",1,,,,,,,,
"29-03-49-45","76864e14ab0a4c98a1cf17d54efe6acf",0,,,,,,,,
"29-03-49-45","76864e14ab0a4c98a1cf17d54efe6acf",1,,,,,,,,
"94-83-94-74","7746d7555f5844d3aa4e1b1db205baaa",0,,,,,,,,
"94-83-94-74","7746d7555f5844d3aa4e1b1db205baaa",1,,,,,,,,
"86-28-58-60","77d8e0bb2a8d40818176e4ca7fa67bed",0,,,,,,,,
"86-28-58-60","77d8e0bb2a8d40818176e4ca7fa67bed",1,,,,,,,,
"45-08-45-12","7858f0477c71435583949704dfdc8273",1,6,14,0,0,0,0,1,1
"45-08-45-12","7858f0477c71435583949704dfdc8273",0,14,8,0,0,0,0,0,3
"47-71-40-92","78bcb53eff2c4728a87f26ee0d5a7295",0,193,210,158,142,35,68,0,0
"47-71-40-92","78bcb53eff2c4728a87f26ee0d5a7295",1,267,112,225,94,42,18,0,0
"30-29-17-25","7ae3d3fc9a4344ba8bb7d8670ba0a214",1,4,4,0,0,0,0,3,2
"30-29-17-25","7ae3d3fc9a4344ba8bb7d8670ba0a214",0,3,1,0,0,0,0,1,1
"88-94-99-21","7cbae8c05a404cca98e447173d257eb4",0,19,19,16,14,3,5,0,0
"88-94-99-21","7cbae8c05a404cca98e447173d257eb4",1,27,16,17,10,10,5,0,0
"52-89-16-75","7cbedb93a4d54e71a77f6282ce45b604",0,13,17,0,0,6,6,5,6
