"interview__key","EA_code","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17_oth0"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",110,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",104,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",102,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",108,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",101,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",111,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",109,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",103,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",103,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",101,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",106,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",105,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",107,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",109,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",102,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",110,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",104,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",108,,,,,,,,,,,,,,,,,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",111,,,,,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
