"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",2,3,1,2018,1,3
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",4,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",1,6,1,2018,1,2
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",5,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",3,3,1,2018,1,3
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",5,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",2,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",1,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",4,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",3,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",4,,2,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",1,4,1,2018,1,2
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",3,3,1,2018,1,6
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",5,,2,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",2,4,1,2018,1,3
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",3,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",5,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",1,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",4,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",2,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",5,3,1,2018,,96
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",4,4,1,2018,,3
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",3,4,1,2018,1,3
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",1,3,1,2018,1,96
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",2,4,1,2018,1,3
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",4,2,1,2018,,3
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",1,5,1,2018,1,96
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",3,5,1,2018,1,3
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",2,6,1,2018,1,3
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",5,5,1,2018,,1
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",3,4,1,2018,1,3
