"EA_code","t0_EA_code","interview__key","community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",309,1,1,2013,1,0
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",313,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",311,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",306,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",308,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",305,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",303,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",304,1,1,2017,1,1
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",312,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",313,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",305,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",307,1,3,2012,2,15
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",301,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",306,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",302,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",311,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",308,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",304,1,3,2013,1,20
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",303,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",309,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",310,,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",304,1,2,2013,2,26
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",306,1,2,2017,1,15
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",308,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",303,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",313,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",311,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",307,1,1,2017,1,5
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",310,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",309,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",305,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",302,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",301,2,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",312,2,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",301,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",310,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",307,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",302,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",311,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",306,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",313,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",304,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",308,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",305,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",309,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",312,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",303,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",304,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",309,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",308,,,,,
