"EA_code","t0_EA_code","interview__key","s4oq113","s4oq114"
"5b1bfa5bef2c4d529bd9d6297a3e11ec","2261020208","20-39-84-46",,
"5ec0701dd9f54f1bbe921ca9175a60d9","1112020218","56-80-19-40",,
"5d98309983cf4e319ba077b1e10020fc","3221111112","22-55-33-62",1,1
"5f9ac4ea0e654d08b3cd6ed453de3ff1","1021040402","07-07-36-19",1,1
"5fe1acda95ad4556b6a0983a641d479a","4182020204","84-67-15-95",1,1
"5df1b3d3aa7d4cb3b184c8ab9edf7506","3151050502","52-64-64-81",1,1
"5feb56a602554863982002d7dffa96e9","3291060606","94-06-39-74",1,1
"606dfeb842fa4339b5772cb092c00c26","3103060608","01-46-09-86",1,1
"61187e593ce849f6b0b6f20972734150","2211090905","67-70-56-85",1,1
"627c07fe24fc470f9300d75233c4b4ee","2123111101","58-19-91-16",,
"62c15549e2894eee9032940da84f6170","331BIBI010104","56-99-39-47",1,1
"639bf406ae23488b9674d26d841618fb","2111070708","95-66-18-46",1,1
"64a7c25789dc44988120f839b628656f",,"31-52-69-96",,
"6504c17bdaa94ba5b08d852aa03e266d","2111050505","18-43-14-59",1,1
"67a9e20200064275ab4495b3b07aca86","2301040403","16-93-07-51",,
"68f903f5bf9145f88554337640a5e431","3301101002","92-26-77-38",1,1
"6a981e6f28e34024b3877b143c78a411",,"08-74-10-74",,
"6a3556900ab44aeb9fe37891164e8f6a","2051070702","22-09-94-20",,
"6927081db9f440ca849fbd55ac30e9bd",,"34-91-15-19",,
"6ab741446b254f54b494a75bc6c31575","3171070712","00-16-89-29",1,1
"6a0f936dcc7846d187bcff0b122213e5","1134060601","65-66-38-86",1,1
"70b5acb304f142b291fc6b209f67a5b3","2141020206","94-18-00-85",2,
"741a8331efc04b6b845110d8a212aec0","4081131305","23-95-21-09",1,1
"6d88e79cdca94f44955a26a280ceaae8","4022070707","18-73-98-72",1,1
"71230c66d335494aa424d7f85a36da60","3211060605","40-73-51-73",,
"7557b1aecd28455e9909c6d2a923a832","2043010103","88-41-92-59",1,1
"7377cd30ca6540eabb25b4a9a3de369d","1021040402","33-62-41-35",,
"6f717245375d48cbaee0ccc130704124","4181040401","61-26-83-13",1,1
"6fdd02cc5fad4b6aaaa699355b50a2c5","1241040402","64-64-66-34",1,1
