"EA_code","t0_EA_code","initiative_id","interview__key","s3mq1","s3mq2"
"09583a0be3d943588eccede22daecd45",,15,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,16,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,17,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,18,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,19,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,20,"74-65-87-03",,
"09bd271138b34050a20647bb26da164e","3072020202",1,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",2,"96-05-61-85",1,2
"09bd271138b34050a20647bb26da164e","3072020202",3,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",4,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",5,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",6,"96-05-61-85",1,3
"09bd271138b34050a20647bb26da164e","3072020202",7,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",8,"96-05-61-85",1,
"09bd271138b34050a20647bb26da164e","3072020202",9,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",10,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",11,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",12,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",13,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",14,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",15,"96-05-61-85",1,1
"09bd271138b34050a20647bb26da164e","3072020202",16,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",17,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",18,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",19,"96-05-61-85",2,
"09bd271138b34050a20647bb26da164e","3072020202",20,"96-05-61-85",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",1,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",2,"02-82-25-55",1,1
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",3,"02-82-25-55",1,2
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",4,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",5,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",6,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",7,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",8,"02-82-25-55",1,3
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",9,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",10,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",11,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",12,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",13,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",14,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",15,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",16,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",17,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",18,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",19,"02-82-25-55",2,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",20,"02-82-25-55",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",1,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",2,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",3,"05-20-15-42",1,2
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",4,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",5,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",6,"05-20-15-42",1,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",7,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",8,"05-20-15-42",1,3
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",9,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",10,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",11,"05-20-15-42",1,1
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",12,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",13,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",14,"05-20-15-42",1,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",15,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",16,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",17,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",18,"05-20-15-42",1,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",19,"05-20-15-42",2,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",20,"05-20-15-42",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",1,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",2,"54-45-74-15",1,3
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",3,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",4,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",5,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",6,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",7,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",8,"54-45-74-15",1,2
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",9,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",10,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",11,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",12,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",13,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",14,"54-45-74-15",1,1
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",15,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",16,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",17,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",18,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",19,"54-45-74-15",2,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",20,"54-45-74-15",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",1,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",2,"98-06-19-96",1,2
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",3,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",4,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",5,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",6,"98-06-19-96",1,3
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",7,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",8,"98-06-19-96",1,1
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",9,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",10,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",11,"98-06-19-96",1,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",12,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",13,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",14,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",15,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",16,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",17,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",18,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",19,"98-06-19-96",2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",20,"98-06-19-96",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",1,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",2,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",3,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",4,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",5,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",6,"13-72-15-50",1,2
"0e5fc948d76340ac9c27380a8837c56c","2162020206",7,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",8,"13-72-15-50",1,1
"0e5fc948d76340ac9c27380a8837c56c","2162020206",9,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",10,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",11,"13-72-15-50",1,3
"0e5fc948d76340ac9c27380a8837c56c","2162020206",12,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",13,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",14,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",15,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",16,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",17,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",18,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",19,"13-72-15-50",2,
"0e5fc948d76340ac9c27380a8837c56c","2162020206",20,"13-72-15-50",2,
"120df4dbf75444178f10871b972869ac","1042080804",1,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",2,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",3,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",4,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",5,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",6,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",7,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",8,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",9,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",10,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",11,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",12,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",13,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",14,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",15,"24-08-96-20",,
