"EA_code","t0_EA_code","interview__key","communal_resource_id","s6eq01","s6eq02","s6eq03","s6eq04","s6eq05","s6eq06","s6eq07a","s6eq07b","s6eq07c","s6eq08a","s6eq08b","s6eq08c","s6eq09a","s6eq09b","s6eq09c","s6eq10","s6eq11","s6eq12","s6eq13","s6eq14"
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",103,,,,,,,,,,,,,,,,,,,,
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",102,,,,,,,,,,,,,,,,,,,,
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",101,,,,,,,,,,,,,,,,,,,,
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",105,2,,,,,,,,,,,,,,,,,,,
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",104,,,,,,,,,,,,,,,,,,,,
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",103,,,,,,,,,,,,,,,,,,,,
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",101,,,,,,,,,,,,,,,,,,,,
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",105,,,,,,,,,,,,,,,,,,,,
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",102,,,,,,,,,,,,,,,,,,,,
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",104,2,,,,,,,,,,,,,,,,,,,
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",105,2,,,,,,,,,,,,,,,,,,,
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",101,2,,,,,,,,,,,,,,,,,,,
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",102,2,,,,,,,,,,,,,,,,,,,
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",103,2,,,,,,,,,,,,,,,,,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",101,2,,,,,,,,,,,,,,,,,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",104,1,1,1,2,1,2,,,,104,,,101,,,3,2,,2,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",103,2,,,,,,,,,,,,,,,,,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",105,2,,,,,,,,,,,,,,,,,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",102,2,,,,,,,,,,,,,,,,,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",105,,,,,,,,,,,,,,,,,,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",101,,,,,,,,,,,,,,,,,,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",103,,,,,,,,,,,,,,,,,,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",104,1,,,,,,,,,,,,,,,,,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",102,,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",102,2,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",105,2,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",104,2,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",103,2,,,,,,,,,,,,,,,,,,,
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",101,2,,,,,,,,,,,,,,,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",102,2,,,,,,,,,,,,,,,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",101,2,,,,,,,,,,,,,,,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",103,2,,,,,,,,,,,,,,,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",105,2,,,,,,,,,,,,,,,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",104,2,,,,,,,,,,,,,,,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",105,2,,,,,,,,,,,,,,,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",102,2,,,,,,,,,,,,,,,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",103,2,,,,,,,,,,,,,,,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",101,2,,,,,,,,,,,,,,,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",104,2,,,,,,,,,,,,,,,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",103,,,,,,,,,,,,,,,,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",102,,,,,,,,,,,,,,,,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",101,,,,,,,,,,,,,,,,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",104,,,,,,,,,,,,,,,,,,,,
"2be916b9e8004a559894ec6c28948826","2221111101","54-21-11-77",105,,,,,,,,,,,,,,,,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",101,2,,,,,,,,,,,,,,,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",103,2,,,,,,,,,,,,,,,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",102,2,,,,,,,,,,,,,,,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",105,2,,,,,,,,,,,,,,,,,,,
"2c005b61e9d3469bb8b37576d7c0a9dc","1181010110","37-99-38-49",104,2,,,,,,,,,,,,,,,,,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",101,2,,,,,,,,,,,,,,,,,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",102,2,,,,,,,,,,,,,,,,,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",103,2,,,,,,,,,,,,,,,,,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",105,2,,,,,,,,,,,,,,,,,,,
"2c09ec554d4e489bb9d6e97baaebfa65","4122010104","18-49-15-19",104,2,,,,,,,,,,,,,,,,,,,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",101,,,,,,,,,,,,,,,,,,,,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",102,,,,,,,,,,,,,,,,,,,,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",105,,,,,,,,,,,,,,,,,,,,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",103,1,2,2,2,1,2,,,,104,,,,,,1,2,,2,
"2c1eac5793354569a5f6598d4cc1c4d9","3092040406","91-50-78-15",104,,,,,,,,,,,,,,,,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",104,2,,,,,,,,,,,,,,,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",101,2,,,,,,,,,,,,,,,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",102,2,,,,,,,,,,,,,,,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",105,2,,,,,,,,,,,,,,,,,,,
"2c79b64a9c5544fabbddb2b71590e49f","3171020201","33-98-51-91",103,2,,,,,,,,,,,,,,,,,,,
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",104,2,,,,,,,,,,,,,,,,,,,
"2caf4db31e1947578d134f4b52b91d8f","2181151501","02-42-11-75",103,2,,,,,,,,,,,,,,,,,,,
