"t0_hhid","hhid","h9q03a__1","h9q03a__2","h9q03a__3","h9q03a__4","h9q03a__5","h9q03a__7","h9q03a__6","h9q11a","h9q12a","h9q13a","h9q14a","h9q15a","h9q16a"
"H3870101","5859b42a60394289800816f7a2efb0f5",,,,,,,,,,,,,
"H1430102","58474e1b1ce94664be2810d340184cc9",0,0,0,0,0,0,0,2,2,2,,2,2
"H3190702","587e1941dd6c4b6b846e21efc8727fc2",0,0,0,0,0,0,0,2,2,2,,2,2
"H0670701","58119e24be074c9686598be02dec1b2b",0,0,0,0,0,0,0,2,2,2,,2,2
"H1400202","58eceee2ee434848a3089c064bcf7721",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3070103","58a70201e82842bf8aa7e876027b062d",0,0,0,0,0,0,0,2,2,2,,2,2
"H2610602","590852baf65a4ef4af288625ea971556",0,0,0,0,0,0,0,1,2,2,,2,2
"H0670401","58cafe41ef884a26843d8327c49ad964",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3930201","58cf8ecb501b45ecb5c87fd71558f4b4",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3540801","591581397e574fc59f68cc5e0ae652fc",0,0,0,0,0,0,0,1,2,1,2,1,2
"H1620501","594e3f9e818041ea9503576b21b74977",0,0,0,0,0,0,0,2,2,2,,2,2
"H1421001","598eac4b8a7c4a238eed7db182187ee2",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3420401","59950365ce924fbeade7ffc07ed6005b",0,0,0,0,0,0,0,2,2,2,,2,2
"H1860601","59677586640d45cba4c12a75193b7891",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1400302","59af43dd132840e7a3d907037ed3e8e2",0,0,0,0,0,0,0,2,2,2,,2,2
"H4010301","5998bd8f833a41a381de9f7227f0e406",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1820502","59a75b63f8b2478daa8f2afe067eb61d",0,0,0,0,0,0,,1,2,1,2,1,2
"H4150701","5a1d71ae6ba84a02a26ec11d2b5ed9a3",,,,,,,,,,,,,
"H0810701","59e9cfa7d69d431385ca9aa6c9d789b9",0,0,0,0,0,0,0,2,2,2,,2,2
"H2640501","59f88ad21fc7425d8ed8b0f2e4d26f6e",0,0,0,0,0,0,0,2,2,2,,2,2
"H4170101","5a4cafd1a6114325a790f9ff6a5c2d7b",0,0,0,0,0,0,0,2,2,2,,2,2
"H3830701","5a5764a883b741edb61f3cf0647aab27",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0420301","5a5af9e0c5ea4a94a8071e56c277b3ae",0,0,0,0,0,0,0,2,2,2,,2,2
"H2331201","5a95a6b5d20246efa7213e89c9878278",,,,,,,,,,,,,
"H4060301","5a5d131ca2f04438874f1078498881ec",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2000701","5a67d206764f452bac3503e9e3326573",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0530501","5a8cc7602c324f3893cedb9d219f05f9",0,0,0,0,0,0,0,1,2,1,2,1,2
"81","5ac46de58fdd4a6287280f189952a28f",0,0,0,0,0,0,0,2,2,2,,2,2
"H2380602","5aa74ca9930c416bb69c9e2f27e439a6",0,0,0,0,0,0,0,2,2,2,,2,2
"H1310701","5abb4c8b03414d8d87da4b062242ddb9",0,0,0,0,0,0,0,1,2,2,,2,2
"H2160802","5b55ae8c2e124c06b88d9683995ac28c",0,0,0,0,0,0,0,2,2,2,,2,2
"H1700202","5b4873825f5943019a35e7f77e655f9b",0,0,0,0,0,0,0,2,2,2,,2,2
"H1320502","5b3f449e0899444ea283af63d8bb63f7",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1770101","5b77e97b5ff9465097c03b7b2c483bb6",0,0,0,0,0,0,0,2,2,2,,2,2
"H3070601","5b89a0d3dc124f2d9278eaaebc1253b9",0,0,0,0,0,0,0,2,2,2,,2,2
"H2520402","5b6caf67fa4844a3afc132358c488d18",0,0,0,0,0,0,0,2,2,2,,2,2
"H1770801","5b9a8107f7854b3b97e9d2b5c6287ad7",0,0,0,0,0,0,0,2,2,2,,2,2
"H1310802","5bc7131c15ec434da6129b665f07204f",,,,,,,,,,,,,
"H2350903","5ba24740654f468994dec57f3196f105",1,0,0,0,0,0,0,1,2,1,2,2,2
"H2600801","5c051e9b28d1486882c5f3bc0ad9b284",0,0,0,0,0,0,0,1,2,2,,2,2
"H1680902","5bedc944beb348dd9e665ff64e4b3cfb",0,0,0,0,0,0,0,2,2,2,,2,2
"H4170801","5c22a0cac6f04ae2b1cb59b2bffc234e",0,0,0,0,0,0,0,2,2,2,,2,2
"H1821004","5c60c2af92fc4cc1bb3ed7226330679b",,,,,,,,,,,,,
"H1700902","5c482291f5644f51ac5a26e41fb423cf",0,0,0,0,0,0,0,1,2,2,,2,2
"H1640601","5ca1c7853cb8405da3bad7f88c61e6ae",0,0,0,0,0,0,0,2,2,2,,2,2
"H1180701","5cc21d790c8d43e19134c3d06b510440",0,0,0,0,0,0,0,2,2,2,,2,2
"H2080701","5cbe7e16e56e4c2cb7135dea298a0513",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3370401","5cdb157bc6a9409ab591aac03b93de41",1,,0,0,0,0,0,1,1,1,1,1,1
"H0480201","5cf791f3aaa842ae9607461e3f5105e0",0,0,0,0,0,0,0,2,2,2,,2,2
"H2960802","5d114e93f4864c71ab4a6cea448b86ef",0,0,0,0,0,0,0,2,2,2,,2,2
"H2810401","5d08e1cff4d44812ab1a9d109df3030b",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1490201","5d00f9e5b3004fbab2b062d87bc75ca9",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3960701","5d600e6d4cc8413b8e25be770e1690dd",0,0,0,0,0,0,0,2,2,2,,2,2
"H3370101","5d9e89e7fa574156a0d8083eaae19c97",,,,,,,,,,,,,
"H0690901","5d4e1d31e9844da1badd1c8c9ebb7a92",0,,0,0,0,0,0,2,2,2,,2,2
"H3580501","5d2dc4e2880c4334b16b2a1746a34330",0,0,0,0,0,0,0,2,2,2,,2,2
"H0950901","5db557cd28d843eb8afbd97ed4f9921c",,,,,,,,,,,,,
"71","5daffb57e96b4b71824e9edf2a78efaf",0,0,0,0,0,0,0,2,2,2,,2,2
"H3580401","5d9fb664e5794b9999d4b391ff0f910f",0,0,0,0,0,0,0,1,2,2,,2,2
"H3760501","5dad6f82a0ce46ff850ee81e017ccf55",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4170501","5dd4f9c988324a1f8945593342d1b8bc",0,0,0,0,0,0,0,2,2,2,,2,2
"70","5df2ff18b1ed4736b8584fd4498c1ee0",0,0,0,0,0,0,0,2,2,2,,2,2
"H2970603","5dbf0d9e368d4a4d98668160c2f2245d",1,0,0,0,0,0,0,1,1,1,1,1,1
"H3590701","5dfb8bbddf1e4f4a8d451cae0f9f3b1e",0,0,0,0,0,0,0,2,2,2,,2,2
"H0420901","5e1d64267a2c4563931fa0730f6aec89",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4060701","5eaeb178bc5d41bbac26258e28b64fad",0,0,0,0,0,0,0,1,2,2,,2,2
"H2040903","5ea0ff6c6cdc4a3da2ece713f7a38d90",0,0,0,0,0,0,0,2,2,2,,2,2
"H2570602","5ef7b7d1609c4e7a901a12e00486f391",0,0,0,,0,0,0,2,2,2,,2,2
"H3930101","5f2efd1361104001a2c404a0867ccd02",0,0,0,0,0,0,0,2,2,2,,2,2
"H2390301","5ef261dcd84f45e0a139f83b001486ae",0,0,0,0,0,0,0,2,2,2,,2,2
"H3850301","5face35ca9d84c1f9b27f7610d04d3fd",0,0,0,0,0,0,0,2,2,2,,2,2
"H3510801","5f869d74cb7847faa9014b1f9feaa239",0,0,0,0,0,0,0,2,2,2,,2,2
"H3850501","5fa72e1943fb48c2936d502692ba155e",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3360501","5f55548a1f2a46309017e9af3ce923a8",0,0,0,0,0,0,0,1,2,2,,2,2
"H2560101","600b3c89a6af42e0afb57da459a48d12",1,0,0,0,0,0,0,1,1,2,,2,2
"H2870901","5ff92c1b873a4b9b8aeb9f4ae270a9bb",0,0,0,0,0,0,0,2,2,2,,2,2
"H1070401","5fb04dcdf9204b1aafcf52cf33a45555",0,0,0,0,0,0,0,2,2,2,,2,2
"H2570801","605e738f2b814482844817490acbaa0d",0,0,0,0,0,0,0,2,2,2,,2,2
"H1800503","6062aecaa2f84d388bfe9151d63cb83d",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4230401","606c4146e96e4f0d98bfd39f2168a7f5",0,0,0,0,0,0,0,2,2,1,2,2,2
"H2050901","6090d24a3ab54a80aafcc62368458b34",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3650901","609bbe5fdab1452494036c2c44dd5c9f",0,0,0,0,0,0,0,2,2,2,,2,2
"H0460401","60c1073a75944e17993ba62c536c1002",0,0,0,0,0,0,0,1,1,1,2,1,2
"H1700703","60e7140ffa4444c8a66604d6d775fc56",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0810101","60fa49b5b7904bbf9ced2e0347042a79",,,,,,,,,,,,,
"H3050202","60f4ff95ed42488d9604bbdbd4e49c33",,,,,,,,,,,,,
"H3220503","60e9827e55c149eaba5d05ff45307bad",0,0,0,0,0,0,0,2,2,2,,2,2
"H3450901","61322865960249d3a6876a99b55d5706",,,,,,,,,,,,,
"H0530401","610c5bf3e8c745a2bce00335869944d0",0,0,0,0,0,0,0,2,2,2,,2,2
"H4050301","615238b7741c46738f4d7f57394fc606",0,0,0,0,0,0,0,1,2,1,2,2,2
"H4120701","62450077713b4673a71e4064f7779231",0,0,0,0,0,0,0,1,1,1,1,1,2
"H1700301","61f9803fd4b843269d85759fa849a22c",0,0,0,0,0,0,0,2,2,2,,2,2
"H1440601","62ef03f7946645638209d9001a348dc3",0,0,0,0,0,0,0,2,2,2,,2,2
"H2810801","62725579e7604d66b37cce74651f8e29",1,0,0,0,0,0,0,1,1,2,,2,2
"H2851001","62a9e9d2758e4232a6167f1b7fcdb0ea",0,0,0,0,0,0,0,2,2,2,,2,2
"H4200701","625359273de24f86b536582e950699a5",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2210103","631baafe810041c89f84956d7d0bec43",0,0,0,0,0,0,0,2,2,2,,2,2
"H2150301","62f7f39afcd14f4e847cb535a4a4edd2",1,0,0,0,0,0,0,2,2,1,2,2,2
"H3040701","62f98b948054472f9af377f0770b822f",0,0,0,0,0,0,0,2,2,2,,2,2
"H2870201","632260cfa6a741779f8254ac123bee17",0,0,0,0,0,0,0,1,2,2,,2,2
"H1070701","630a78370ca1494dac008cf11af8102b",0,0,0,0,0,0,0,2,2,2,,2,2
"H0591001","632b07964a574cafb3592a27f3f4ff9e",,,,,,,,,,,,,
"H0540701","634f296123704d2b97008a3893627a01",0,0,0,0,0,0,0,2,2,2,,2,2
"H2740601","637816b51cc8476ababc6260c06e01a0",0,0,0,0,0,0,0,1,2,2,,2,2
"H1100201","639904b89f424930a608975e652cb2d7",0,0,0,0,0,0,0,1,2,2,,2,2
"172","63b06298a3424e57acf5de30b6a9b585",0,0,0,0,0,0,0,2,2,2,,2,2
"H3090102","63ad54dedc9a4e7784c26bc1f05549ed",0,0,0,0,0,0,0,2,2,2,,2,2
"H2940201","63c8b7066e6c456ab3c9c177a13e84e1",1,0,0,0,0,0,0,2,1,2,,1,1
"H0590602","63c175864ac14ffa92f71b1872f65e89",0,0,0,0,0,0,0,2,2,2,,2,2
"H1150601","63d68e788cec45b8b21ccb97b0f532d0",,,,,,,,,,,,,
"H4051001","63ff4cd3a3c94b1390bbccba110d8bdc",1,0,0,0,0,0,0,1,2,1,2,2,2
"H1191001","63d26b88b52948da88f088281ce5f0ad",0,0,0,0,0,0,0,2,2,2,,2,2
"H3070203","6417869cf5864740a1abf369b7e46cc4",,,,,,,,,,,,,
"H3420501","646b258a479a490ea91079180f5dda45",0,0,0,0,0,0,0,2,2,2,,2,2
"H3840701","64261b2ef31643998edd6c495744c905",0,0,0,0,0,0,0,1,2,2,,2,2
"H0740401","64cc6f0e9fab4d70a99c87a35c80983d",0,0,0,0,0,0,0,2,2,2,,2,2
"H2200403","64ac3328a38747a8b77a2b4ac460c0a1",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2620603","64d62adeb0ef45c99d25468d46d582b5",0,0,0,0,0,0,0,1,2,2,,2,2
"H3610201","64fa5b910c4c49dbbc4857602d0d672e",0,0,0,0,0,0,0,2,2,2,,2,2
"H2440301","64e1798107b1444482207808be5e3ac6",0,0,0,0,0,0,0,1,2,2,,2,2
"H1950402","650c312f114a455ea633421ac415f43b",1,0,0,0,0,0,0,1,1,2,,2,2
"H1291001","64f1b95703174b18be5d2149c373ca5c",0,0,0,0,0,0,0,1,2,2,,2,2
"H4150401","6510394aa6aa408d905e1c07e4ae9bd0",0,0,0,0,0,0,0,1,2,2,,2,2
"H2990401","6587ca59e80b43f5a9c7c0f3ba63352e",0,0,0,0,0,0,0,2,2,2,,2,2
"H2050301","657b9ddaf5b04fb6b72978eb80912ba6",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2251001","6552ba66f3a04eab9c64d915937f6431",0,1,0,0,0,0,0,1,2,1,2,2,2
"H3190101","658fb34f7461410f8958ccaa7766e976",0,0,0,0,0,0,0,2,2,2,,2,2
"H2560801","659602bd105841448261dad147393608",0,0,0,0,0,0,0,1,2,2,,2,2
"H1070801","65917ccc57e4489bb3bc235a47fa4780",0,0,0,0,0,0,0,2,2,2,,2,2
"H2420402","65b723d581a7428498feb97450b36bb4",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2630201","65ed8d28b51145479007a04b86be57c1",0,0,0,0,0,0,0,2,2,2,,2,2
"H3950601","65eb3bef2b0c47d6b207dd1888da3c4d",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3870801","6638329da63c413185af917e476578b0",0,0,0,0,0,0,0,2,2,2,,2,2
"H0510601","6600f1665c2f4b6d8a673fe6913cdc67",0,0,0,0,0,0,0,1,2,2,,2,2
"H2700601","664b94b0b9c0412aad99ccb5e78cbf4f",0,0,0,0,0,0,0,2,2,2,,2,2
"H2250303","66443b76761442b7ae9f75ac22b46e50",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2081104","6647ad4cab9341138c4050e319b2a577",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0690601","668a5fed83f14297a8ca6089725a1591",,,,,,,,,,,,,
"H0671001","66c0f950e7834f2fbf566635e826fcb3",0,0,0,0,0,0,0,2,2,2,,2,2
"H2960301","66959d5454ec43c7861bec7889849ad1",0,0,0,0,0,0,0,2,2,2,,2,2
"H3520101","66c88c6ac9de4c13ab44e35044e1d11a",0,0,0,0,0,0,0,1,1,1,1,1,1
"H2060102","67100c815d044e33a4b6f94192aeb381",0,0,0,0,0,0,0,1,2,2,,2,2
"H1440404","6764c2a9e2c441a1ad4f637da4f63c84",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2090603","67215dfd80364d729a90eceaac438cf8",0,0,0,0,0,0,0,1,2,1,2,1,2
"H0910902","673dd0e3652a4d2c8fa055c7c58232fb",0,0,0,0,0,0,0,1,2,2,,2,2
"H2920901","6801c449102d400a8522f48e673b99d3",,,,,,,,,,,,,
"H2970101","680ac310041e4db891e0bfd9a67fabba",0,0,0,0,0,0,0,2,2,2,,2,2
"H2110101","679b99b535b046b491106a4331f9f9ee",0,0,0,0,0,0,0,2,2,2,,2,2
"H2540903","688961b934304d5a815b68d8f1f5124d",0,0,0,0,0,0,0,2,2,2,,2,2
"H2200404","687ef184e9424f10b44cd82ef4c12324",1,0,0,0,0,0,0,1,2,2,,2,2
"H3350601","681cbb8c5bb244c5b55a076ccfe17f8c",1,0,0,0,0,0,0,1,1,2,,2,2
"H1090801","68b38b2281794724804cfbb332cf31f0",0,0,0,0,0,0,0,1,2,2,,2,2
"H1951001","689e2ce77104402a9f872c8e05dd22c9",0,0,0,0,0,0,0,1,2,2,,2,2
"H0590601","68b753ff1a69455ea2cd05c11bde81ed",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3781001","68af277b785243d98b96318db7360cf4",0,0,0,0,0,0,0,2,2,2,,2,2
"H2970703","68db55bc6a47402290ef540adc1c18ca",0,0,0,0,0,0,0,2,2,2,,2,2
"H1910703","68cfdca72dba43feb318315441a1396c",0,0,0,0,0,0,0,2,2,2,,2,2
"H1151001","68c5d85e73f442b98f9d734d23a6360c",1,0,0,0,0,0,0,1,1,1,1,1,2
"H1820301","68e2e3f630be4cc788a3c61f6b522b3a",0,0,0,0,0,0,0,2,2,2,,2,2
"H2960902","690d9dad4c4943d5b39918ec5d25a707",,,,,,,,,,,,,
"H2461002","69389211ef9543f09dd0b955bd7ba94b",0,0,0,0,0,0,0,2,2,2,,2,2
"H2970501","696c143bab8e4f44a575b1564cae411c",0,0,0,0,0,0,0,2,2,2,,2,2
"H0360301","69949c62d1084d058c89e94dd901e503",0,0,0,0,0,0,0,2,2,2,,2,2
"H3890501","69bca440979f4ba59b8d57dd628e7d72",1,0,0,0,0,0,0,1,1,2,,2,2
"42","6a5e3fd07228432c8c65087ada1793ff",0,0,0,0,0,0,0,2,2,2,,2,2
"H3460701","6a36fb3d10284cd29b90a9c965673e61",0,0,0,0,0,0,0,2,2,2,,2,2
"H1920402","6a1f1d0492b24ece992a0caf323e9157",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2230601","6a353fad5ce24f7d928c4bc5645ccf83",0,0,0,0,0,0,0,2,2,2,,2,2
"H4060201","6ab431369c09447893380947e1e2fa9c",,,,,,,,,,,,,
"H1091001","6a8c6955b0994898b925d6b30c1c855c",0,0,0,0,0,0,0,2,2,2,,2,2
"H3870601","6a786c2d723f4add86a4a778a805498b",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0541201","6ad635d3403248979bbd95c911af620c",0,0,0,0,0,0,0,2,2,2,,2,2
"H2200201","6af9b7d26a9b4d4886cb4d0577d4c640",0,0,0,0,0,0,0,2,2,2,,2,2
"H3930701","6af34064cb92445789a8360953487239",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0741202","6ba52bca5b20410e806054c30c5ef909",,,,,,,,,,,,,
"H2140101","6b55b47e2249487f97b9e81b07b8b490",0,0,0,0,0,0,0,2,2,2,,2,2
"H4060401","6b900f14c9f44138a12e3707c25722ec",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4061001","6b9817aa4acf488b802fa5eb006f009a",0,0,0,0,0,0,0,2,2,2,,2,2
"H3680101","6be232699e70435ba9cd8db725d1cd7d",,,,,,,,,,,,,
"H4150801","6ba9588f25094e3387eb46e9db57a8bc",0,0,0,0,0,0,0,2,2,2,,2,2
"93","6bcdf494fc1540af91e7128addf20b66",0,0,0,0,0,0,0,2,1,2,,2,2
"H1410402","6bd3cf7a1e4345c4b67abce238dc828d",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2940502","6c1bd9883eec4044979ad1be8420e48b",,,,,,,,,,,,,
"H2620703","6c2b2395f6c24ef49e70351cf6a51f4e",0,0,0,0,0,0,0,1,1,2,,2,1
"H3980801","6c26f95c9b844536a969e47ede58abba",0,0,0,0,0,1,1,1,2,2,,2,2
"H3820101","6c47c9e23f364985838504b94dcd0f98",0,0,0,0,0,0,0,2,2,2,,2,2
"H3851001","6c82d38a510147bb8dea2705589e6ad0",0,0,0,0,0,0,0,2,2,2,,2,2
"H1971002","6cdd4fcbbcfe414d9686fdd2c404dc8b",0,0,0,0,0,0,0,1,2,2,,2,2
"H2420801","6cdc2865affb46e084bc210198a5d640",0,0,0,1,0,0,0,2,2,2,,2,2
"H2990303","6d271125688e4ce28b3d41e7a4d8bd63",,,,,,,,,,,,,
"H1770901","6ce5b0c08e9c49b9b1b389ebb52a0d29",0,0,0,0,0,0,0,2,2,2,,2,2
"H2370801","6d2e2dbf3a8046bbba64f9fd5ec54fbd",0,0,0,0,0,0,0,1,2,1,2,2,2
"H4010401","6d3161443ac04336ace23492e57e319e",0,0,0,0,0,0,0,2,2,2,,2,2
"H2560901","6d392e82536e4b17b058d09c5e05b414",0,0,0,0,0,0,0,2,2,2,,2,2
"H1640902","6d68da2a08ee4f92aee39d86974f0082",0,0,0,0,0,0,0,2,2,2,,2,2
"H1320801","6d62d577102f4e0fa86652fc173d909f",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1490401","6df742df056643358cfb5b48d1cc2fa9",0,0,0,0,0,0,0,2,2,2,,2,2
"H2440104","6d744b34367e4b1285aadf0502734121",0,0,0,0,0,0,0,2,2,2,,2,2
"H1331002","6d80eda54c8046fb8018c220f362e6a9",0,0,0,0,0,0,0,1,2,2,,2,2
"H1660402","6e36743f363a4cdd819cf27aeac8de96",,,,,,,,,,,,,
"H3850901","6dfa6a5816024c7f966cca87e3bed6f5",0,0,0,0,0,0,0,1,2,2,,2,2
"H2440801","6e1b9813d0ca441b84732b02c170252c",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2441101","6e36c69388f14f37831e723c7d4fa2fc",0,0,0,0,0,0,0,1,2,2,,2,2
"H1150203","6e875b72aa294366a4e02397929494ca",,,,,,,,,,,,,
"H2900201","6ea576e77a1444da8af810a7d7d1ff9c",0,0,0,0,0,0,0,2,2,2,,2,2
"H0460201","6e9fed759eb24d828cde8e8f85295fa5",0,0,0,0,0,0,0,2,2,2,,2,2
"H1430402","6ed7bea2de0e4fe19ac7e0a5a7e0c5f9",0,0,0,,0,0,0,2,2,2,,2,2
"H2981004","6f3b0e49990144ff9e75ee145a362444",,,,,,,,,,,,,
"H3410701","6f0634b271dd4ebabaca45a0579a1a69",1,0,0,0,0,0,0,2,1,2,,1,2
"76","6f035c845d044070b977bfd3ae5bfe18",0,0,0,0,0,0,0,2,2,2,,2,2
"H1250601","6ec00f7d379e4cceb131ac9725f35b1a",0,0,0,0,0,0,0,2,2,2,,2,2
"H1860302","6eedbaa6dcca4d878447d1c2cab98136",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2110902","6f502e1e043449cab9a278cbfd4c30f8",0,0,0,0,0,0,0,1,2,2,,2,2
"H4000301","6f601a010e1e4af68c6c7a487cc5d460",0,0,1,0,0,0,0,1,2,2,,2,2
"H1330301","6f60b55f26fb4ce68cfb46773cdd2175",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3760101","6f750fb9941247278e9fbb82eace8268",0,0,0,0,0,0,0,1,2,2,,2,2
"H3371001","6f3d8a77df14439b95377e51e8300c21",0,0,0,0,0,0,0,2,2,2,,2,2
"H3810301","6f783cf387a44f4cba00be9ade1aed63",0,0,0,0,0,0,0,1,2,1,2,1,2
"11","6fd351dce142448db75da19ed3a51c08",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3981001","6fbd6d3c79154fa08e1bd82de62547cc",0,0,0,0,0,0,0,2,2,2,,2,2
"H3170801","6fd460ca3c404736aa233ebb0ac0e849",0,0,0,0,0,0,0,1,2,2,,2,2
"H0961001","70083014d0e34e76a200eb9cbf9b9746",,,,,,,,,,,,,
"H2001101","700070912677437580e7da3eb10c7734",0,0,0,0,0,0,1,2,2,2,,2,2
"H2170802","7099a8f1f29e471bbc4900447a270fbc",0,0,0,0,0,0,0,2,2,2,,2,2
"H1730801","704c5e32c47443e784d9d55b1f8a36f8",0,0,0,0,0,0,0,1,2,2,,2,2
"H1291002","703b091c1c54412c9ad4e1bc9eb8e745",0,0,0,0,0,0,0,1,2,2,,2,2
"H0900402","70ae12f096154729a14d2624aa5a59de",,,,,,,,,,,,,
"H3890401","70b84b49868844a69607a740ed1a9e6c",,,,,,,,,,,,,
"H0491001","70ccd806085f4136878564d359c880f5",0,0,0,0,0,0,0,2,2,2,,2,2
"H0910502","71586d604e6b4e66b0858ba862d00e70",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2140801","71567b0738d2489d911fd9abb92d18bb",0,0,1,0,0,0,0,2,2,2,,2,2
"H3190201","70d83bd5db6f46e092593b4bfc363ba3",0,0,0,0,0,0,0,1,2,2,,2,2
"H4020501","7196fc8c703d4b63b77abfa5a2bd8a87",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0630701","7174f77470f941978f2c2eabeb248d8e",0,0,0,0,0,0,0,2,2,2,,2,2
"H3640601","716b7f44cabf49a2847a3889e6727028",1,0,0,0,0,0,0,1,1,1,1,1,1
"H0030401","71df065e78364b6fbc54853ce81ca3a3",,,,,,,,,,,,,
"H3640801","71d08d8479d04271a989d162da8446f1",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1200801","71fc52bca7824edf8eea7a129275e5f7",0,0,0,0,0,0,0,2,2,1,2,2,2
"H2710602","71f720c6ba3e47c7b296d3cac439556e",0,0,0,0,0,0,0,2,2,2,,2,2
"H0420802","72101337b59849bbb9c5cfe4a4dfefab",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2591001","7253dbdbc83c4e6681974c40ce369e79",,,,,,,,,,,,,
"H4140601","721bf64da76042f7b93ac98e57773d34",0,0,0,0,0,0,0,2,2,2,,2,2
"H1510801","7231cac3c984454fbb9963e15947dc38",0,0,1,1,1,0,0,1,2,1,1,1,1
"H0990902","727329c27fbe4d47b9702dc4bcf6dc67",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3770801","726c55c38e5c413c9537339f0570449a",0,0,0,0,0,0,0,2,2,2,,2,2
"H3210901","7277729586fb4a9592696d72ce3de753",0,0,0,0,0,0,0,2,2,2,,2,2
"H1910801","727c323fa2204ccdb04071ac469d05ed",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1331101","728afb63255b4874ae765595bfec8cb7",0,0,0,0,0,0,0,1,2,2,,2,2
"H4010601","729ba85c48a14df3abbfe298e90e3931",1,0,0,0,1,0,0,1,1,1,2,2,2
"H2960402","72decf6c6bcb4d4a9976894561e88bd4",0,0,0,0,0,0,0,2,2,2,,2,2
"H2420502","72f813fc964b4814bfc83da19685f39b",0,0,0,0,0,0,0,2,2,2,,2,2
"H3710601","72e6998f6ca846fc9fa53cc11cf80bb3",1,0,0,0,1,0,0,2,2,2,,2,2
"H2950301","73357f93fd7d47e1acbdc93e2bbbaef8",0,0,0,0,0,0,0,1,2,2,,2,2
"H1080501","72fb95c7e7834be3915e0b43acbe1246",0,0,0,0,0,0,0,2,2,2,,2,2
"H1320601","7308518286db4f34b37462cdff7ac26b",0,0,0,0,0,1,0,2,2,2,,2,2
"H3870901","734497637f314f55922867482d741924",,,,,,,,,,,,,
"H3220701","7351f114bd934ae199814d992a1ea52b",0,0,0,0,0,0,0,2,2,2,,2,2
"H4200201","73a3603281c14991b3cb3bd91ecd8ac6",,,,,,,,,,,,,
"H0480101","7363638ad7714b90ab660c315c4c7967",,,,,,,,,,,,,
"H3880801","73b1cbfa562e4305935b545bfdb0e9fe",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3060504","74442713de0d44a79d2facf8caf0fb42",,,,,,,,,,,,,
"H3750701","7448642df3c040f79bf36e011ac2fb61",0,0,0,0,0,0,0,2,2,2,,2,2
"H0420702","745c527e9b874d4b92effb7c15388bb7",0,0,0,0,0,0,0,2,2,2,,2,2
"H4070701","74ce981dfc7b4d619b0ea820ef708e41",0,0,0,0,0,0,0,2,2,2,,2,2
"H1290501","745a4b56b26e43f9afbbc9343f14bdad",0,0,0,0,0,0,0,1,2,2,,2,2
"H3650601","7489719b1a9d4197b9b8f559c815b2f5",0,0,1,0,0,0,0,2,2,2,,2,2
"H1880903","757ffbd74ba9487e917dfb9492183907",0,0,0,0,0,0,0,1,2,1,2,1,2
"H1590702","7518e884894c45e5837ce4ce122c4fa1",0,0,0,0,0,0,0,2,2,2,,2,2
"H1090201","75131ef563f342d2866a9eb7dba5f3cf",,,,,,,,,,,,,
