hhid,h10q8_1,h10q8_2,hh
H0211001,Wood / Sawdust Burning,No,H02110-05-01
H0211001,Efficient Wood Burning,No,H02110-05-01
H0211001,Charcoal,Yes,H02110-05-01
H0211001,Other Biomass Burning,No,H02110-05-01
H0211001,Open fire,No,H02110-05-01
H0211001,Other (specify),No,H02110-05-01
H0211101,Electric,Yes,H02111-05-01
H0211101,lpg,No,H02111-05-01
H0211101,Kerosene,No,H02111-05-01
H0211101,Wood / Sawdust Burning,No,H02111-05-01
H0211101,Efficient Wood Burning,No,H02111-05-01
H0211101,Charcoal,Yes,H02111-05-01
H0211101,Other Biomass Burning,No,H02111-05-01
H0211101,Open fire,Yes,H02111-05-01
H0211101,Other (specify),Yes,H02111-05-01
H0220301,Electric,No,H02203-05-01
H0220301,lpg,No,H02203-05-01
H0220301,Kerosene,No,H02203-05-01
H0220301,Wood / Sawdust Burning,No,H02203-05-01
H0220301,Efficient Wood Burning,No,H02203-05-01
H0220301,Charcoal,Yes,H02203-05-01
H0220301,Other Biomass Burning,No,H02203-05-01
H0220301,Open fire,No,H02203-05-01
H0220301,Other (specify),No,H02203-05-01
H0220501,Electric,Yes,H02205-05-01
H0220501,lpg,Yes,H02205-05-01
H0220501,Kerosene,No,H02205-05-01
H0220501,Wood / Sawdust Burning,No,H02205-05-01
H0220501,Efficient Wood Burning,No,H02205-05-01
H0220501,Charcoal,Yes,H02205-05-01
H0220501,Other Biomass Burning,No,H02205-05-01
H0220501,Open fire,No,H02205-05-01
H0220501,Other (specify),No,H02205-05-01
H0220601,Electric,No,H02206-05-01
H0220601,lpg,No,H02206-05-01
H0220601,Kerosene,No,H02206-05-01
H0220601,Wood / Sawdust Burning,No,H02206-05-01
H0220601,Efficient Wood Burning,No,H02206-05-01
H0220601,Charcoal,Yes,H02206-05-01
H0220601,Other Biomass Burning,No,H02206-05-01
H0220601,Open fire,No,H02206-05-01
H0220601,Other (specify),No,H02206-05-01
H0220701,Electric,No,H02207-05-01
H0220701,lpg,No,H02207-05-01
H0220701,Kerosene,No,H02207-05-01
H0220701,Wood / Sawdust Burning,No,H02207-05-01
H0220701,Efficient Wood Burning,No,H02207-05-01
H0220701,Charcoal,Yes,H02207-05-01
H0220701,Other Biomass Burning,No,H02207-05-01
H0220701,Open fire,No,H02207-05-01
H0220701,Other (specify),No,H02207-05-01
H0230401,Electric,No,H02304-05-01
H0230401,lpg,No,H02304-05-01
H0230401,Kerosene,No,H02304-05-01
H0230401,Wood / Sawdust Burning,No,H02304-05-01
H0230401,Efficient Wood Burning,No,H02304-05-01
H0230401,Charcoal,Yes,H02304-05-01
H0230401,Other Biomass Burning,No,H02304-05-01
H0230401,Open fire,No,H02304-05-01
H0230401,Other (specify),No,H02304-05-01
H0230501,Electric,No,H02305-05-01
H0230501,lpg,No,H02305-05-01
H0230501,Kerosene,No,H02305-05-01
H0230501,Wood / Sawdust Burning,No,H02305-05-01
H0230501,Efficient Wood Burning,No,H02305-05-01
H0230501,Charcoal,Yes,H02305-05-01
H0230501,Other Biomass Burning,No,H02305-05-01
H0230501,Open fire,No,H02305-05-01
H0230501,Other (specify),No,H02305-05-01
H0230801,Electric,No,H02308-05-01
H0230801,lpg,No,H02308-05-01
H0230801,Kerosene,No,H02308-05-01
H0230801,Wood / Sawdust Burning,No,H02308-05-01
H0230801,Efficient Wood Burning,No,H02308-05-01
H0230801,Charcoal,Yes,H02308-05-01
H0230801,Other Biomass Burning,No,H02308-05-01
H0230801,Open fire,No,H02308-05-01
H0230801,Other (specify),No,H02308-05-01
H0231001,Electric,No,H02310-05-01
H0231001,lpg,No,H02310-05-01
H0231001,Kerosene,No,H02310-05-01
H0231001,Wood / Sawdust Burning,No,H02310-05-01
H0231001,Efficient Wood Burning,No,H02310-05-01
H0231001,Charcoal,Yes,H02310-05-01
H0231001,Other Biomass Burning,No,H02310-05-01
H0231001,Open fire,Yes,H02310-05-01
H0231001,Other (specify),No,H02310-05-01
H0240101,Electric,No,H02401-05-01
H0240101,lpg,No,H02401-05-01
H0240101,Kerosene,Yes,H02401-05-01
H0240101,Wood / Sawdust Burning,No,H02401-05-01
H0240101,Efficient Wood Burning,No,H02401-05-01
H0240101,Charcoal,Yes,H02401-05-01
H0240101,Other Biomass Burning,No,H02401-05-01
H0240101,Open fire,No,H02401-05-01
H0240101,Other (specify),Yes,H02401-05-01
H0240701,Electric,No,H02407-05-01
H0240701,lpg,No,H02407-05-01
H0240701,Kerosene,Yes,H02407-05-01
H0240701,Wood / Sawdust Burning,No,H02407-05-01
H0240701,Efficient Wood Burning,No,H02407-05-01
H0240701,Charcoal,Yes,H02407-05-01
H0240701,Other Biomass Burning,No,H02407-05-01
H0240701,Open fire,No,H02407-05-01
H0240701,Other (specify),No,H02407-05-01
H0240901,Electric,No,H02409-05-01
H0240901,lpg,No,H02409-05-01
H0240901,Kerosene,No,H02409-05-01
H0240901,Wood / Sawdust Burning,No,H02409-05-01
H0240901,Efficient Wood Burning,No,H02409-05-01
H0240901,Charcoal,Yes,H02409-05-01
H0240901,Other Biomass Burning,No,H02409-05-01
H0240901,Open fire,No,H02409-05-01
H0240901,Other (specify),No,H02409-05-01
H0250701,Electric,No,H02507-05-01
H0250701,lpg,No,H02507-05-01
H0250701,Kerosene,No,H02507-05-01
H0250701,Wood / Sawdust Burning,No,H02507-05-01
H0250701,Efficient Wood Burning,No,H02507-05-01
H0250701,Charcoal,Yes,H02507-05-01
H0250701,Other Biomass Burning,No,H02507-05-01
H0250701,Open fire,No,H02507-05-01
H0250701,Other (specify),No,H02507-05-01
H0260201,Electric,No,H02602-05-01
H0260201,lpg,No,H02602-05-01
H0260201,Kerosene,No,H02602-05-01
H0260201,Wood / Sawdust Burning,No,H02602-05-01
H0260201,Efficient Wood Burning,No,H02602-05-01
